Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,New York Jets,Pittsburgh Steelers,Aaron Rodgers,New York Jets,276,1,2,0,0,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Breece Hall,New York Jets,0,0,0,6,103,0,38,1,0
2024-10-20,New York Jets,Pittsburgh Steelers,Isaiah Davis,New York Jets,0,0,0,0,0,0,12,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Braelon Allen,New York Jets,0,0,0,1,2,0,4,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Garrett Wilson,New York Jets,0,0,0,5,61,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Allen Lazard,New York Jets,0,0,0,4,58,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Davante Adams,New York Jets,0,0,0,3,30,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Mike Williams,New York Jets,0,0,0,1,15,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Tyler Conklin,New York Jets,0,0,0,4,7,1,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Irvin Charles,New York Jets,0,0,0,0,0,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Russell Wilson,Pittsburgh Steelers,264,2,0,0,0,0,3,1,0
2024-10-20,New York Jets,Pittsburgh Steelers,Najee Harris,Pittsburgh Steelers,0,0,0,0,0,0,102,1,0
2024-10-20,New York Jets,Pittsburgh Steelers,Jaylen Warren,Pittsburgh Steelers,0,0,0,2,15,0,44,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,George Pickens,Pittsburgh Steelers,0,0,0,5,111,1,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Pat Freiermuth,Pittsburgh Steelers,0,0,0,2,51,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Darnell Washington,Pittsburgh Steelers,0,0,0,4,36,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Calvin Austin III,Pittsburgh Steelers,0,0,0,1,36,0,0,0,0
2024-10-20,New York Jets,Pittsburgh Steelers,Van Jefferson,Pittsburgh Steelers,0,0,0,2,15,1,0,0,0
