Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Philadelphia Eagles,New York Giants,Jalen Hurts,Philadelphia Eagles,114,1,0,0,0,0,22,2,0
2024-10-20,Philadelphia Eagles,New York Giants,Kenny Pickett,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Saquon Barkley,Philadelphia Eagles,0,0,0,2,11,0,176,1,0
2024-10-20,Philadelphia Eagles,New York Giants,Kenneth Gainwell,Philadelphia Eagles,0,0,0,1,11,0,56,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Will Shipley,Philadelphia Eagles,0,0,0,0,0,0,15,0,0
2024-10-20,Philadelphia Eagles,New York Giants,A.J. Brown,Philadelphia Eagles,0,0,0,5,89,1,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Grant Calcaterra,Philadelphia Eagles,0,0,0,1,5,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Parris Campbell,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Jahan Dotson,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,DeVonta Smith,Philadelphia Eagles,0,0,0,1,-2,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Daniel Jones,New York Giants,99,0,0,0,0,0,20,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Drew Lock,New York Giants,6,0,0,0,0,0,13,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Tyrone Tracy,New York Giants,0,0,0,3,9,0,23,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Devin Singletary,New York Giants,0,0,0,1,3,0,18,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Eric Gray,New York Giants,0,0,0,1,7,0,2,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Malik Nabers,New York Giants,0,0,0,4,41,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Wan'Dale Robinson,New York Giants,0,0,0,6,23,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Darius Slayton,New York Giants,0,0,0,1,11,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Daniel Bellinger,New York Giants,0,0,0,1,11,0,0,0,0
2024-10-20,Philadelphia Eagles,New York Giants,Jalin Hyatt,New York Giants,0,0,0,0,0,0,0,0,0
