Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Seattle Seahawks,Atlanta Falcons,Geno Smith,Seattle Seahawks,207,2,0,0,0,0,15,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Jaxon Smith-Njigba,Seattle Seahawks,35,0,0,3,9,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Kenneth Walker III,Seattle Seahawks,0,0,0,2,24,1,69,1,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Zach Charbonnet,Seattle Seahawks,0,0,0,1,-5,0,14,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Kenny McIntosh,Seattle Seahawks,0,0,0,0,0,0,5,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,D.K. Metcalf,Seattle Seahawks,0,0,0,4,99,1,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Noah Fant,Seattle Seahawks,0,0,0,4,65,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Tyler Lockett,Seattle Seahawks,0,0,0,4,45,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,AJ Barner,Seattle Seahawks,0,0,0,1,5,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Jake Bobo,Seattle Seahawks,0,0,0,0,0,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Kirk Cousins,Atlanta Falcons,232,1,2,0,0,0,-1,0,1
2024-10-20,Seattle Seahawks,Atlanta Falcons,Michael Penix,Atlanta Falcons,14,0,0,0,0,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Bijan Robinson,Atlanta Falcons,0,0,0,3,40,0,103,1,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,0,0,0,1,9,0,36,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Jase McClellan,Atlanta Falcons,0,0,0,0,0,0,17,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Kyle Pitts,Atlanta Falcons,0,0,0,7,65,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Drake London,Atlanta Falcons,0,0,0,6,63,1,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Darnell Mooney,Atlanta Falcons,0,0,0,5,46,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Casey Washington,Atlanta Falcons,0,0,0,1,14,0,0,0,0
2024-10-20,Seattle Seahawks,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0,0,2,9,0,0,0,0
