Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-20,Tennessee Titans,Buffalo Bills,Mason Rudolph,Tennessee Titans,215,1,1,0,0,0,13,0,1
2024-10-20,Tennessee Titans,Buffalo Bills,Tony Pollard,Tennessee Titans,0,0,0,2,4,0,61,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Julius Chestnut,Tennessee Titans,0,0,0,1,9,0,15,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Chigoziem Okonkwo,Tennessee Titans,0,0,0,4,50,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Tyler Boyd,Tennessee Titans,0,0,0,5,43,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Calvin Ridley,Tennessee Titans,0,0,0,3,42,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Josh Whyle,Tennessee Titans,0,0,0,3,34,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Nick Vannett,Tennessee Titans,0,0,0,4,25,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Nick Westbrook-Ikhine,Tennessee Titans,0,0,0,2,10,1,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,DeAndre Hopkins,Tennessee Titans,0,0,0,1,-2,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Josh Allen,Buffalo Bills,323,2,0,0,0,0,1,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Ray Davis,Buffalo Bills,0,0,0,1,6,0,41,1,0
2024-10-20,Tennessee Titans,Buffalo Bills,James Cook,Buffalo Bills,0,0,0,0,0,0,32,1,0
2024-10-20,Tennessee Titans,Buffalo Bills,Keon Coleman,Buffalo Bills,0,0,0,4,125,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Amari Cooper,Buffalo Bills,0,0,0,4,66,1,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Khalil Shakir,Buffalo Bills,0,0,0,7,65,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Dalton Kincaid,Buffalo Bills,0,0,0,3,52,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Dawson Knox,Buffalo Bills,0,0,0,1,5,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Ty Johnson,Buffalo Bills,0,0,0,1,4,1,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Mack Hollins,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-10-20,Tennessee Titans,Buffalo Bills,Curtis Samuel,Buffalo Bills,0,0,0,0,0,0,0,0,0
