Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Lamar Jackson,Baltimore Ravens,281,5,0,0,0,0,52,0,1
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Derrick Henry,Baltimore Ravens,0,0,0,1,13,1,169,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Zay Flowers,Baltimore Ravens,0,0,0,1,11,0,19,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Justice Hill,Baltimore Ravens,0,0,0,3,44,1,4,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Rashod Bateman,Baltimore Ravens,0,0,0,4,121,1,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Mark Andrews,Baltimore Ravens,0,0,0,4,41,2,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Nelson Agholor,Baltimore Ravens,0,0,0,1,20,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Isaiah Likely,Baltimore Ravens,0,0,0,2,17,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Charlie Kolar,Baltimore Ravens,0,0,0,1,14,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Patrick Ricard,Baltimore Ravens,0,0,0,0,0,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,370,3,2,0,0,0,22,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Rachaad White,Tampa Bay Buccaneers,0,0,0,6,71,2,40,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Sean Tucker,Tampa Bay Buccaneers,0,0,0,1,9,0,29,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,0,0,0,3,54,0,23,1,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,3,15,0,11,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,0,0,0,8,100,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Chris Godwin,Tampa Bay Buccaneers,0,0,0,7,65,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Mike Evans,Tampa Bay Buccaneers,0,0,0,1,25,1,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0,0,1,16,0,0,0,0
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,1,15,0,0,0,0
