Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,1,10:27,Tampa Bay Buccaneers,Mike Evans 25 yard pass from Baker Mayfield (Chase McLaughlin kick),0,7
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,1,0:02,Tampa Bay Buccaneers,Chase McLaughlin 23 yard field goal,0,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,2,12:29,Baltimore Ravens,Mark Andrews 9 yard pass from Lamar Jackson (Justin Tucker kick),7,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,2,4:23,Baltimore Ravens,Justice Hill 18 yard pass from Lamar Jackson (Justin Tucker kick),14,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,2,0:04,Baltimore Ravens,Justin Tucker 28 yard field goal,17,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,3,12:20,Baltimore Ravens,Justin Tucker 52 yard field goal,20,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,3,7:25,Baltimore Ravens,Rashod Bateman 49 yard pass from Lamar Jackson (Justin Tucker kick),27,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,3,2:53,Baltimore Ravens,Mark Andrews 4 yard pass from Lamar Jackson (Justin Tucker kick),34,10
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,4,11:24,Tampa Bay Buccaneers,Rachaad White 11 yard pass from Baker Mayfield (Sterling Shepard pass from Baker Mayfield),34,18
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,4,6:32,Baltimore Ravens,Derrick Henry 13 yard pass from Lamar Jackson (Justin Tucker kick),41,18
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,4,3:46,Tampa Bay Buccaneers,Bucky Irving 1 yard rush (pass failed),41,24
2024-10-21,Baltimore Ravens,Tampa Bay Buccaneers,4,1:58,Tampa Bay Buccaneers,Rachaad White 23 yard pass from Baker Mayfield (Chase McLaughlin kick),41,31
