Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Justin Herbert,Los Angeles Chargers,349,0,0,0,0,0,8,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,J.K. Dobbins,Los Angeles Chargers,0,0,0,3,26,0,40,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Kimani Vidal,Los Angeles Chargers,0,0,0,1,9,0,10,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Hassan Haskins,Los Angeles Chargers,0,0,0,0,0,0,2,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Will Dissly,Los Angeles Chargers,0,0,0,8,81,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Josh Palmer,Los Angeles Chargers,0,0,0,4,63,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Ladd McConkey,Los Angeles Chargers,0,0,0,5,46,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Simi Fehoko,Los Angeles Chargers,0,0,0,3,45,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Stone Smartt,Los Angeles Chargers,0,0,0,1,31,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Eric Tomlinson,Los Angeles Chargers,0,0,0,1,7,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Jalen Reagor,Los Angeles Chargers,0,0,0,1,41,0,-1,0,1
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Kyler Murray,Arizona Cardinals,145,1,1,0,0,0,64,1,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,James Conner,Arizona Cardinals,0,0,0,2,51,0,101,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Emari Demercado,Arizona Cardinals,0,0,0,0,0,0,14,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Clayton Tune,Arizona Cardinals,0,0,0,0,0,0,2,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Trey McBride,Arizona Cardinals,0,0,0,5,51,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,3,21,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Michael Wilson,Arizona Cardinals,0,0,0,1,15,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Greg Dortch,Arizona Cardinals,0,0,0,1,5,1,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Tip Reiman,Arizona Cardinals,0,0,0,1,1,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Elijah Higgins,Arizona Cardinals,0,0,0,1,1,0,0,0,0
2024-10-21,Los Angeles Chargers,Arizona Cardinals,Zay Jones,Arizona Cardinals,0,0,0,0,0,0,0,0,0
