Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-24,Minnesota Vikings,Los Angeles Rams,Sam Darnold,Minnesota Vikings,240,2,0,0,0,0,6,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Aaron Jones,Minnesota Vikings,0,0,0,2,37,0,58,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Justin Jefferson,Minnesota Vikings,0,0,0,8,115,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Josh Oliver,Minnesota Vikings,0,0,0,2,30,1,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Jordan Addison,Minnesota Vikings,0,0,0,2,22,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Jalen Nailor,Minnesota Vikings,0,0,0,2,16,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Trent Sherfield,Minnesota Vikings,0,0,0,1,10,1,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Johnny Mundt,Minnesota Vikings,0,0,0,1,10,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Matthew Stafford,Los Angeles Rams,279,4,1,0,0,0,-4,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Kyren Williams,Los Angeles Rams,0,0,0,5,19,1,97,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Blake Corum,Los Angeles Rams,0,0,0,1,9,0,9,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Puka Nacua,Los Angeles Rams,0,0,0,7,106,0,5,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Cooper Kupp,Los Angeles Rams,0,0,0,5,51,1,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Demarcus Robinson,Los Angeles Rams,0,0,0,2,35,2,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Hunter Long,Los Angeles Rams,0,0,0,1,18,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Tutu Atwell,Los Angeles Rams,0,0,0,1,18,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Colby Parkinson,Los Angeles Rams,0,0,0,2,17,0,0,0,0
2024-10-24,Minnesota Vikings,Los Angeles Rams,Tyler Johnson,Los Angeles Rams,0,0,0,1,6,0,0,0,0
