Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Arizona Cardinals,Miami Dolphins,Kyler Murray,Arizona Cardinals,307,2,0,0,0,0,19,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,James Conner,Arizona Cardinals,0,0,0,2,16,0,53,1,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Trey Benson,Arizona Cardinals,0,0,0,0,0,0,10,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Trey McBride,Arizona Cardinals,0,0,0,9,124,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,6,111,1,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Michael Wilson,Arizona Cardinals,0,0,0,5,31,1,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Elijah Higgins,Arizona Cardinals,0,0,0,2,13,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Greg Dortch,Arizona Cardinals,0,0,0,1,9,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Zay Jones,Arizona Cardinals,0,0,0,1,3,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Emari Demercado,Arizona Cardinals,0,0,0,0,0,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Tua Tagovailoa,Miami Dolphins,234,1,0,0,0,0,13,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,De'Von Achane,Miami Dolphins,0,0,0,6,50,1,97,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Raheem Mostert,Miami Dolphins,0,0,0,1,11,0,19,2,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,18,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Alec Ingold,Miami Dolphins,0,0,0,3,19,0,3,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Tyreek Hill,Miami Dolphins,0,0,0,6,72,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Jaylen Waddle,Miami Dolphins,0,0,0,4,45,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Jonnu Smith,Miami Dolphins,0,0,0,4,20,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,Julian Hill,Miami Dolphins,0,0,0,3,11,0,0,0,0
2024-10-27,Arizona Cardinals,Miami Dolphins,D'Wayne Eskridge,Miami Dolphins,0,0,0,1,6,0,0,0,0
