Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-27,Arizona Cardinals,Miami Dolphins,1,10:15,Miami Dolphins,Raheem Mostert 1 yard rush (Jason Sanders kick),0,7
2024-10-27,Arizona Cardinals,Miami Dolphins,1,1:16,Miami Dolphins,Jason Sanders 53 yard field goal,0,10
2024-10-27,Arizona Cardinals,Miami Dolphins,2,11:28,Arizona Cardinals,Michael Wilson 6 yard pass from Kyler Murray (Chad Ryland kick),7,10
2024-10-27,Arizona Cardinals,Miami Dolphins,2,0:15,Miami Dolphins,Jason Sanders 25 yard field goal,7,13
2024-10-27,Arizona Cardinals,Miami Dolphins,3,11:43,Arizona Cardinals,Chad Ryland 57 yard field goal,10,13
2024-10-27,Arizona Cardinals,Miami Dolphins,3,8:31,Miami Dolphins,De'Von Achane 12 yard pass from Tua Tagovailoa (Jason Sanders kick),10,20
2024-10-27,Arizona Cardinals,Miami Dolphins,3,6:15,Arizona Cardinals,"Safety, fumble out of bounds in end zone",12,20
2024-10-27,Arizona Cardinals,Miami Dolphins,3,2:08,Arizona Cardinals,Marvin Harrison Jr. 22 yard pass from Kyler Murray (run failed),18,20
2024-10-27,Arizona Cardinals,Miami Dolphins,4,12:22,Miami Dolphins,Raheem Mostert 6 yard rush (Jason Sanders kick),18,27
2024-10-27,Arizona Cardinals,Miami Dolphins,4,8:47,Arizona Cardinals,James Conner 2 yard rush (Chad Ryland kick),25,27
2024-10-27,Arizona Cardinals,Miami Dolphins,4,0:00,Arizona Cardinals,Chad Ryland 34 yard field goal,28,27
