Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Kirk Cousins,Atlanta Falcons,276,4,0,0,0,0,16,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Bijan Robinson,Atlanta Falcons,0,0,0,7,43,1,63,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Tyler Allgeier,Atlanta Falcons,0,0,0,0,0,0,33,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Ray-Ray McCloud,Atlanta Falcons,0,0,0,3,9,0,17,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Kyle Pitts,Atlanta Falcons,0,0,0,4,91,2,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Darnell Mooney,Atlanta Falcons,0,0,0,4,86,1,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Drake London,Atlanta Falcons,0,0,0,4,34,0,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Charlie Woerner,Atlanta Falcons,0,0,0,1,13,0,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,330,3,2,0,0,0,11,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,0,0,0,7,40,0,44,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Rachaad White,Tampa Bay Buccaneers,0,0,0,5,38,1,29,0,1
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Jalen McMillan,Tampa Bay Buccaneers,0,0,0,4,35,0,17,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Sean Tucker,Tampa Bay Buccaneers,0,0,0,1,12,0,3,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,0,0,0,9,81,2,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Rakim Jarrett,Tampa Bay Buccaneers,0,0,0,3,58,0,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0,0,2,29,0,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Ryan Miller,Tampa Bay Buccaneers,0,0,0,3,19,0,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,3,18,0,0,0,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,Tavierre Thomas,Tampa Bay Buccaneers,0,0,0,0,0,0,-2,0,0
