Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,1,12:52,Atlanta Falcons,Kyle Pitts 36 yard pass from Kirk Cousins (Younghoe Koo kick),7,0
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,1,4:22,Tampa Bay Buccaneers,Cade Otton 5 yard pass from Baker Mayfield (Chase McLaughlin kick),7,7
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,2,10:28,Tampa Bay Buccaneers,Rachaad White 18 yard pass from Baker Mayfield (Chase McLaughlin kick),7,14
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,2,7:19,Atlanta Falcons,Kyle Pitts 49 yard pass from Kirk Cousins (Younghoe Koo kick),14,14
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,2,2:09,Atlanta Falcons,Darnell Mooney 30 yard pass from Kirk Cousins (Younghoe Koo kick),21,14
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,2,1:04,Tampa Bay Buccaneers,Chase McLaughlin 52 yard field goal,21,17
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,2,0:01,Atlanta Falcons,Younghoe Koo 39 yard field goal,24,17
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,3,0:14,Atlanta Falcons,Bijan Robinson 6 yard pass from Kirk Cousins (Younghoe Koo kick),31,17
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,4,12:04,Tampa Bay Buccaneers,"Safety, fumble out of bounds in end zone",31,19
2024-10-27,Atlanta Falcons,Tampa Bay Buccaneers,4,6:52,Tampa Bay Buccaneers,Cade Otton 4 yard pass from Baker Mayfield (Chase McLaughlin kick),31,26
