Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Baltimore Ravens,Cleveland Browns,Lamar Jackson,Baltimore Ravens,289,2,0,0,0,0,46,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Derrick Henry,Baltimore Ravens,0,0,0,1,4,0,73,1,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Justice Hill,Baltimore Ravens,0,0,0,1,14,0,5,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Zay Flowers,Baltimore Ravens,0,0,0,7,115,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Isaiah Likely,Baltimore Ravens,0,0,0,4,47,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Nelson Agholor,Baltimore Ravens,0,0,0,3,36,1,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Mark Andrews,Baltimore Ravens,0,0,0,5,36,1,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Rashod Bateman,Baltimore Ravens,0,0,0,1,28,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Charlie Kolar,Baltimore Ravens,0,0,0,1,9,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Jameis Winston,Cleveland Browns,334,3,0,0,0,0,2,0,1
2024-10-27,Baltimore Ravens,Cleveland Browns,Nick Chubb,Cleveland Browns,0,0,0,0,0,0,52,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,D'Onta Foreman,Cleveland Browns,0,0,0,0,0,0,26,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Cedric Tillman,Cleveland Browns,0,0,0,7,99,2,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Elijah Moore,Cleveland Browns,0,0,0,8,85,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Jerry Jeudy,Cleveland Browns,0,0,0,5,79,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,David Njoku,Cleveland Browns,0,0,0,5,61,1,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Geoff Swaim,Cleveland Browns,0,0,0,1,7,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Pierre Strong,Cleveland Browns,0,0,0,1,3,0,0,0,0
2024-10-27,Baltimore Ravens,Cleveland Browns,Jordan Akins,Cleveland Browns,0,0,0,0,0,0,0,0,0
