Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-27,Baltimore Ravens,Cleveland Browns,1,0:37,Cleveland Browns,Dustin Hopkins 28 yard field goal,0,3
2024-10-27,Baltimore Ravens,Cleveland Browns,2,11:51,Baltimore Ravens,Justin Tucker 49 yard field goal,3,3
2024-10-27,Baltimore Ravens,Cleveland Browns,2,3:41,Cleveland Browns,Dustin Hopkins 33 yard field goal,3,6
2024-10-27,Baltimore Ravens,Cleveland Browns,2,0:27,Baltimore Ravens,Nelson Agholor 11 yard pass from Lamar Jackson (Justin Tucker kick),10,6
2024-10-27,Baltimore Ravens,Cleveland Browns,3,10:46,Cleveland Browns,David Njoku 23 yard pass from Jameis Winston (Dustin Hopkins kick),10,13
2024-10-27,Baltimore Ravens,Cleveland Browns,3,4:42,Baltimore Ravens,Mark Andrews 7 yard pass from Lamar Jackson (Justin Tucker kick),17,13
2024-10-27,Baltimore Ravens,Cleveland Browns,3,2:01,Cleveland Browns,Cedric Tillman 22 yard pass from Jameis Winston (Dustin Hopkins kick),17,20
2024-10-27,Baltimore Ravens,Cleveland Browns,4,4:55,Cleveland Browns,Dustin Hopkins 48 yard field goal,17,23
2024-10-27,Baltimore Ravens,Cleveland Browns,4,2:36,Baltimore Ravens,Derrick Henry 2 yard rush (Justin Tucker kick),24,23
2024-10-27,Baltimore Ravens,Cleveland Browns,4,0:59,Cleveland Browns,Cedric Tillman 38 yard pass from Jameis Winston (pass failed),24,29
