Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Buffalo Bills,Seattle Seahawks,Josh Allen,Buffalo Bills,283,2,1,0,0,0,25,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,James Cook,Buffalo Bills,0,0,0,3,22,0,111,2,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Ray Davis,Buffalo Bills,0,0,0,0,0,0,29,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Khalil Shakir,Buffalo Bills,0,0,0,9,107,0,2,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Keon Coleman,Buffalo Bills,0,0,0,5,70,1,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Dawson Knox,Buffalo Bills,0,0,0,2,50,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Dalton Kincaid,Buffalo Bills,0,0,0,4,31,1,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Amari Cooper,Buffalo Bills,0,0,0,1,3,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Mitchell Trubisky,Buffalo Bills,0,0,0,0,0,0,-3,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Geno Smith,Seattle Seahawks,212,0,1,0,0,0,16,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Kenneth Walker III,Seattle Seahawks,0,0,0,4,33,0,12,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,3,20,0,4,1,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,6,69,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,AJ Barner,Seattle Seahawks,0,0,0,2,34,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Noah Fant,Seattle Seahawks,0,0,0,3,22,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Jake Bobo,Seattle Seahawks,0,0,0,1,15,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Laviska Shenault Jr.,Seattle Seahawks,0,0,0,1,10,0,0,0,0
2024-10-27,Buffalo Bills,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,1,9,0,0,0,0
