Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Carolina Panthers,Denver Broncos,Bryce Young,Carolina Panthers,224,2,2,0,0,0,6,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Johnny Hekker,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Chuba Hubbard,Carolina Panthers,0,0,0,2,15,0,56,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Miles Sanders,Carolina Panthers,0,0,0,7,38,0,7,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Jalen Coker,Carolina Panthers,0,0,0,4,78,1,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,David Moore,Carolina Panthers,0,0,0,4,39,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Xavier Legette,Carolina Panthers,0,0,0,4,34,1,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Tommy Tremble,Carolina Panthers,0,0,0,2,13,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Ja'Tavion Sanders,Carolina Panthers,0,0,0,1,7,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Sam Franklin,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Jonathan Mingo,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Bo Nix,Denver Broncos,284,3,0,0,0,0,4,1,0
2024-10-27,Carolina Panthers,Denver Broncos,Courtland Sutton,Denver Broncos,28,0,0,8,100,0,0,0,1
2024-10-27,Carolina Panthers,Denver Broncos,Riley Dixon,Denver Broncos,3,0,0,0,0,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Jaleel McLaughlin,Denver Broncos,0,0,0,1,9,1,47,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Javonte Williams,Denver Broncos,0,0,0,4,8,0,44,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Audric Estime,Denver Broncos,0,0,0,0,0,0,4,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Troy Franklin,Denver Broncos,0,0,0,1,6,0,3,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Adam Trautman,Denver Broncos,0,0,0,4,85,1,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Devaughn Vele,Denver Broncos,0,0,0,3,28,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Michael Burton,Denver Broncos,0,0,0,1,28,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Lil'Jordan Humphrey,Denver Broncos,0,0,0,4,22,0,0,0,1
2024-10-27,Carolina Panthers,Denver Broncos,Lucas Krull,Denver Broncos,0,0,0,2,18,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Marvin Mims,Denver Broncos,0,0,0,1,8,0,0,0,0
2024-10-27,Carolina Panthers,Denver Broncos,Nate Adkins,Denver Broncos,0,0,0,1,3,1,0,0,0
