Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Chicago Bears,Washington Commanders,Caleb Williams,Chicago Bears,131,0,0,0,0,0,47,0,1
2024-10-27,Chicago Bears,Washington Commanders,D'Andre Swift,Chicago Bears,0,0,0,0,0,0,129,1,0
2024-10-27,Chicago Bears,Washington Commanders,Rome Odunze,Chicago Bears,0,0,0,3,41,0,13,0,0
2024-10-27,Chicago Bears,Washington Commanders,D.J. Moore,Chicago Bears,0,0,0,2,27,0,7,0,0
2024-10-27,Chicago Bears,Washington Commanders,Roschon Johnson,Chicago Bears,0,0,0,0,0,0,6,1,0
2024-10-27,Chicago Bears,Washington Commanders,Keenan Allen,Chicago Bears,0,0,0,2,39,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Cole Kmet,Chicago Bears,0,0,0,1,14,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,DeAndre Carter,Chicago Bears,0,0,0,1,7,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Gerald Everett,Chicago Bears,0,0,0,1,3,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Marcedes Lewis,Chicago Bears,0,0,0,0,0,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Jayden Daniels,Washington Commanders,326,1,0,0,0,0,52,0,0
2024-10-27,Chicago Bears,Washington Commanders,Brian Robinson Jr.,Washington Commanders,0,0,0,1,11,0,65,0,0
2024-10-27,Chicago Bears,Washington Commanders,Austin Ekeler,Washington Commanders,0,0,0,2,6,0,52,0,0
2024-10-27,Chicago Bears,Washington Commanders,Terry McLaurin,Washington Commanders,0,0,0,5,125,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Zach Ertz,Washington Commanders,0,0,0,7,77,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Noah Brown,Washington Commanders,0,0,0,3,73,1,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,John Bates,Washington Commanders,0,0,0,1,20,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Luke McCaffrey,Washington Commanders,0,0,0,1,8,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Dyami Brown,Washington Commanders,0,0,0,1,6,0,0,0,0
2024-10-27,Chicago Bears,Washington Commanders,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,-1,0,0
