Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Dallas Cowboys,San Francisco 49ers,Dak Prescott,Dallas Cowboys,243,2,2,0,0,0,-1,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Ezekiel Elliott,Dallas Cowboys,0,0,0,1,4,0,34,1,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Dalvin Cook,Dallas Cowboys,0,0,0,1,10,0,12,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,KaVontae Turpin,Dallas Cowboys,0,0,0,1,16,0,11,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,CeeDee Lamb,Dallas Cowboys,0,0,0,13,146,2,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Jalen Tolbert,Dallas Cowboys,0,0,0,3,44,0,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Jake Ferguson,Dallas Cowboys,0,0,0,6,23,0,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Hunter Luepke,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Brevyn Spann-Ford,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Jalen Brooks,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Brock Purdy,San Francisco 49ers,260,1,0,0,0,0,56,1,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Isaac Guerendo,San Francisco 49ers,0,0,0,3,17,0,85,1,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Ricky Pearsall,San Francisco 49ers,0,0,0,4,38,0,39,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Jordan Mason,San Francisco 49ers,0,0,0,0,0,0,18,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Deebo Samuel,San Francisco 49ers,0,0,0,4,71,0,15,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Patrick Taylor,San Francisco 49ers,0,0,0,0,0,0,9,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Kyle Juszczyk,San Francisco 49ers,0,0,0,1,6,0,1,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,George Kittle,San Francisco 49ers,0,0,0,6,128,1,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Ronnie Bell,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-10-27,Dallas Cowboys,San Francisco 49ers,Chris Conley,San Francisco 49ers,0,0,0,0,0,0,0,0,0
