Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-27,Dallas Cowboys,San Francisco 49ers,1,7:14,San Francisco 49ers,Anders Carlson 50 yard field goal,0,3
2024-10-27,Dallas Cowboys,San Francisco 49ers,2,10:58,Dallas Cowboys,Ezekiel Elliott 1 yard rush (Brandon Aubrey kick),7,3
2024-10-27,Dallas Cowboys,San Francisco 49ers,2,2:56,Dallas Cowboys,Brandon Aubrey 29 yard field goal,10,3
2024-10-27,Dallas Cowboys,San Francisco 49ers,2,1:30,San Francisco 49ers,Anders Carlson 44 yard field goal,10,6
2024-10-27,Dallas Cowboys,San Francisco 49ers,3,12:57,San Francisco 49ers,Isaac Guerendo 4 yard rush (Anders Carlson kick),10,13
2024-10-27,Dallas Cowboys,San Francisco 49ers,3,7:14,San Francisco 49ers,George Kittle 2 yard pass from Brock Purdy (Anders Carlson kick),10,20
2024-10-27,Dallas Cowboys,San Francisco 49ers,3,0:36,San Francisco 49ers,Brock Purdy 2 yard rush (Anders Carlson kick),10,27
2024-10-27,Dallas Cowboys,San Francisco 49ers,4,7:58,Dallas Cowboys,CeeDee Lamb 7 yard pass from Dak Prescott (Brandon Aubrey kick),17,27
2024-10-27,Dallas Cowboys,San Francisco 49ers,4,4:25,San Francisco 49ers,Anders Carlson 41 yard field goal,17,30
2024-10-27,Dallas Cowboys,San Francisco 49ers,4,3:32,Dallas Cowboys,CeeDee Lamb 20 yard pass from Dak Prescott (Brandon Aubrey kick),24,30
