Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Jordan Love,Green Bay Packers,196,0,1,0,0,0,-1,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Malik Willis,Green Bay Packers,56,1,0,0,0,0,23,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Josh Jacobs,Green Bay Packers,0,0,0,1,-2,0,127,2,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Chris Brooks,Green Bay Packers,0,0,0,1,1,0,16,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Emanuel Wilson,Green Bay Packers,0,0,0,2,-2,0,5,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Tucker Kraft,Green Bay Packers,0,0,0,3,78,1,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Romeo Doubs,Green Bay Packers,0,0,0,3,72,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Jayden Reed,Green Bay Packers,0,0,0,2,55,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Christian Watson,Green Bay Packers,0,0,0,4,39,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Dontayvion Wicks,Green Bay Packers,0,0,0,2,11,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Bo Melton,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Ben Sims,Green Bay Packers,0,0,0,0,0,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Trevor Lawrence,Jacksonville Jaguars,308,2,1,0,0,0,10,1,1
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Tank Bigsby,Jacksonville Jaguars,0,0,0,2,8,0,78,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,1,20,0,3,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Brian Thomas,Jacksonville Jaguars,0,0,0,3,60,1,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Christian Kirk,Jacksonville Jaguars,0,0,0,2,59,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Brenton Strange,Jacksonville Jaguars,0,0,0,5,59,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Parker Washington,Jacksonville Jaguars,0,0,0,3,46,0,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Evan Engram,Jacksonville Jaguars,0,0,0,4,36,1,0,0,0
2024-10-27,Green Bay Packers,Jacksonville Jaguars,Tim Jones,Jacksonville Jaguars,0,0,0,1,20,0,0,0,0
