Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Indianapolis Colts,Houston Texans,Anthony Richardson,Indianapolis Colts,175,1,1,0,0,0,45,0,1
2024-10-27,Indianapolis Colts,Houston Texans,Jonathan Taylor,Indianapolis Colts,0,0,0,1,12,0,105,1,0
2024-10-27,Indianapolis Colts,Houston Texans,Josh Downs,Indianapolis Colts,0,0,0,4,109,1,13,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Michael Pittman Jr.,Indianapolis Colts,0,0,0,1,16,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Trey Sermon,Indianapolis Colts,0,0,0,1,14,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Alec Pierce,Indianapolis Colts,0,0,0,1,11,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Adonai Mitchell,Indianapolis Colts,0,0,0,1,9,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Kylen Granson,Indianapolis Colts,0,0,0,1,4,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Mo Alie-Cox,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Will Mallory,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Tyler Goodson,Indianapolis Colts,0,0,0,0,0,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,C.J. Stroud,Houston Texans,285,1,0,0,0,0,-10,0,1
2024-10-27,Indianapolis Colts,Houston Texans,Joe Mixon,Houston Texans,0,0,0,4,32,0,102,1,0
2024-10-27,Indianapolis Colts,Houston Texans,Dare Ogunbowale,Houston Texans,0,0,0,0,0,0,4,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Dameon Pierce,Houston Texans,0,0,0,0,0,0,4,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Dalton Schultz,Houston Texans,0,0,0,4,52,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Tank Dell,Houston Texans,0,0,0,4,35,1,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,John Metchie,Houston Texans,0,0,0,3,29,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Cade Stover,Houston Texans,0,0,0,2,19,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Xavier Hutchinson,Houston Texans,0,0,0,1,19,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Robert Woods,Houston Texans,0,0,0,2,18,0,0,0,0
2024-10-27,Indianapolis Colts,Houston Texans,Stefon Diggs,Houston Texans,0,0,0,5,81,0,-4,0,0
