Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Patrick Mahomes,Kansas City Chiefs,262,2,1,0,0,0,17,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Kareem Hunt,Kansas City Chiefs,0,0,0,1,4,0,59,1,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Carson Steele,Kansas City Chiefs,0,0,0,1,8,0,6,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Travis Kelce,Kansas City Chiefs,0,0,0,10,90,1,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Xavier Worthy,Kansas City Chiefs,0,0,0,4,37,1,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Justin Watson,Kansas City Chiefs,0,0,0,3,33,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Samaje Perine,Kansas City Chiefs,0,0,0,2,30,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,DeAndre Hopkins,Kansas City Chiefs,0,0,0,2,29,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Noah Gray,Kansas City Chiefs,0,0,0,3,23,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Mecole Hardman,Kansas City Chiefs,0,0,0,1,8,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Jody Fortson,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Gardner Minshew II,Las Vegas Raiders,209,2,0,0,0,0,6,0,1
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Alexander Mattison,Las Vegas Raiders,0,0,0,5,29,0,15,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Tre Tucker,Las Vegas Raiders,0,0,0,2,26,0,7,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,DJ Turner,Las Vegas Raiders,0,0,0,4,28,1,4,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Ameer Abdullah,Las Vegas Raiders,0,0,0,1,9,0,2,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Brock Bowers,Las Vegas Raiders,0,0,0,5,58,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Jakobi Meyers,Las Vegas Raiders,0,0,0,6,52,1,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,John Samuel Shenker,Las Vegas Raiders,0,0,0,1,7,0,0,0,0
2024-10-27,Kansas City Chiefs,Las Vegas Raiders,Zamir White,Las Vegas Raiders,0,0,0,0,0,0,-1,0,0
