Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,New Orleans Saints,Los Angeles Chargers,Spencer Rattler,New Orleans Saints,156,0,0,0,0,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Jake Haener,New Orleans Saints,122,0,0,0,0,0,10,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Taysom Hill,New Orleans Saints,3,0,0,2,21,0,20,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Alvin Kamara,New Orleans Saints,0,0,0,6,55,0,67,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Kendre Miller,New Orleans Saints,0,0,0,0,0,0,16,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Jamaal Williams,New Orleans Saints,0,0,0,0,0,0,4,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Chris Olave,New Orleans Saints,0,0,0,8,107,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Juwan Johnson,New Orleans Saints,0,0,0,3,48,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Bub Means,New Orleans Saints,0,0,0,1,36,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Mason Tipton,New Orleans Saints,0,0,0,2,14,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Foster Moreau,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Adam Prentice,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Justin Herbert,Los Angeles Chargers,279,2,0,0,0,0,49,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,J.K. Dobbins,Los Angeles Chargers,0,0,0,4,11,0,57,1,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Kimani Vidal,Los Angeles Chargers,0,0,0,0,0,0,16,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Ladd McConkey,Los Angeles Chargers,0,0,0,6,111,2,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Josh Palmer,Los Angeles Chargers,0,0,0,2,72,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Will Dissly,Los Angeles Chargers,0,0,0,5,41,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Jalen Reagor,Los Angeles Chargers,0,0,0,2,35,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Scott Matlock,Los Angeles Chargers,0,0,0,1,9,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Simi Fehoko,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,JK Scott,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Eric Tomlinson,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
2024-10-27,New Orleans Saints,Los Angeles Chargers,Hassan Haskins,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
