Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,New York Jets,New England Patriots,Aaron Rodgers,New York Jets,233,2,0,0,0,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Breece Hall,New York Jets,0,0,0,1,9,0,80,0,0
2024-10-27,New York Jets,New England Patriots,Braelon Allen,New York Jets,0,0,0,0,0,0,32,1,0
2024-10-27,New York Jets,New England Patriots,Garrett Wilson,New York Jets,0,0,0,5,113,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Davante Adams,New York Jets,0,0,0,4,54,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Tyler Conklin,New York Jets,0,0,0,3,42,1,0,0,0
2024-10-27,New York Jets,New England Patriots,Jeremy Ruckert,New York Jets,0,0,0,3,14,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Xavier Gipson,New York Jets,0,0,0,1,1,1,0,0,0
2024-10-27,New York Jets,New England Patriots,Jacoby Brissett,New England Patriots,132,0,0,0,0,0,11,0,0
2024-10-27,New York Jets,New England Patriots,Drake Maye,New England Patriots,23,0,0,0,0,0,46,1,0
2024-10-27,New York Jets,New England Patriots,Rhamondre Stevenson,New England Patriots,0,0,0,3,17,0,48,2,0
2024-10-27,New York Jets,New England Patriots,Antonio Gibson,New England Patriots,0,0,0,0,0,0,7,0,0
2024-10-27,New York Jets,New England Patriots,Kayshon Boutte,New England Patriots,0,0,0,3,46,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Hunter Henry,New England Patriots,0,0,0,5,45,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Tyquan Thornton,New England Patriots,0,0,0,2,20,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Austin Hooper,New England Patriots,0,0,0,3,15,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Demario Douglas,New England Patriots,0,0,0,2,12,0,0,0,0
2024-10-27,New York Jets,New England Patriots,Kendrick Bourne,New England Patriots,0,0,0,0,0,0,0,0,0
2024-10-27,New York Jets,New England Patriots,K.J. Osborn,New England Patriots,0,0,0,0,0,0,0,0,0
