Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Jalen Hurts,Philadelphia Eagles,236,1,0,0,0,0,37,3,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Saquon Barkley,Philadelphia Eagles,0,0,0,1,3,0,108,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Kenneth Gainwell,Philadelphia Eagles,0,0,0,0,0,0,19,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,DeVonta Smith,Philadelphia Eagles,0,0,0,6,85,1,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,A.J. Brown,Philadelphia Eagles,0,0,0,5,84,0,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Grant Calcaterra,Philadelphia Eagles,0,0,0,3,58,0,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Jack Stoll,Philadelphia Eagles,0,0,0,1,6,0,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Will Shipley,Philadelphia Eagles,0,0,0,0,0,0,-3,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Joe Burrow,Cincinnati Bengals,234,1,1,0,0,0,15,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Chase Brown,Cincinnati Bengals,0,0,0,2,2,0,32,1,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Zack Moss,Cincinnati Bengals,0,0,0,4,28,0,11,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Mike Gesicki,Cincinnati Bengals,0,0,0,7,73,0,0,0,1
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Ja'Marr Chase,Cincinnati Bengals,0,0,0,9,54,1,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Jermaine Burton,Cincinnati Bengals,0,0,0,1,41,0,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Erick All,Cincinnati Bengals,0,0,0,2,32,0,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Trenton Irwin,Cincinnati Bengals,0,0,0,1,4,0,0,0,0
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
