Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,1,4:56,Cincinnati Bengals,Ja'Marr Chase 2 yard pass from Joe Burrow (Evan McPherson kick),0,7
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,2,14:10,Philadelphia Eagles,Jake Elliott 39 yard field goal,3,7
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,2,9:32,Cincinnati Bengals,Evan McPherson 27 yard field goal,3,10
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,2,0:22,Philadelphia Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),10,10
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,3,10:35,Philadelphia Eagles,Jalen Hurts 7 yard rush (Jake Elliott kick),17,10
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,3,4:16,Cincinnati Bengals,Chase Brown 4 yard rush (Evan McPherson kick),17,17
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,3,2:43,Philadelphia Eagles,DeVonta Smith 45 yard pass from Jalen Hurts (Jake Elliott kick),24,17
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,4,13:34,Philadelphia Eagles,Jake Elliott 49 yard field goal,27,17
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,4,4:39,Philadelphia Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),34,17
2024-10-27,Philadelphia Eagles,Cincinnati Bengals,4,1:55,Philadelphia Eagles,Jake Elliott 47 yard field goal,37,17
