Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-27,Tennessee Titans,Detroit Lions,Mason Rudolph,Tennessee Titans,266,1,2,0,0,0,29,1,0
2024-10-27,Tennessee Titans,Detroit Lions,Tony Pollard,Tennessee Titans,0,0,0,3,23,0,94,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Julius Chestnut,Tennessee Titans,0,0,0,0,0,0,32,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Calvin Ridley,Tennessee Titans,0,0,0,10,143,0,3,0,1
2024-10-27,Tennessee Titans,Detroit Lions,Nick Westbrook-Ikhine,Tennessee Titans,0,0,0,2,39,1,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Josh Whyle,Tennessee Titans,0,0,0,2,33,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Chigoziem Okonkwo,Tennessee Titans,0,0,0,2,14,0,0,0,1
2024-10-27,Tennessee Titans,Detroit Lions,Tyler Boyd,Tennessee Titans,0,0,0,3,14,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Jha'Quan Jackson,Tennessee Titans,0,0,0,0,0,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Nick Vannett,Tennessee Titans,0,0,0,0,0,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Jared Goff,Detroit Lions,85,3,0,0,0,0,1,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Hendon Hooker,Detroit Lions,6,0,0,0,0,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,David Montgomery,Detroit Lions,3,1,0,1,5,0,33,1,0
2024-10-27,Tennessee Titans,Detroit Lions,Jahmyr Gibbs,Detroit Lions,0,0,0,1,6,0,127,1,0
2024-10-27,Tennessee Titans,Detroit Lions,Craig Reynolds,Detroit Lions,0,0,0,0,0,0,3,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Sam LaPorta,Detroit Lions,0,0,0,6,48,1,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Kalif Raymond,Detroit Lions,0,0,0,2,14,1,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Brock Wright,Detroit Lions,0,0,0,1,8,1,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Amon-Ra St. Brown,Detroit Lions,0,0,0,2,7,1,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Isaiah Williams,Detroit Lions,0,0,0,2,6,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Allen Robinson,Detroit Lions,0,0,0,0,0,0,0,0,0
2024-10-27,Tennessee Titans,Detroit Lions,Tim Patrick,Detroit Lions,0,0,0,0,0,0,0,0,0
