Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-27,Tennessee Titans,Detroit Lions,1,10:31,Detroit Lions,David Montgomery 7 yard rush (Jake Bates kick),0,7
2024-10-27,Tennessee Titans,Detroit Lions,1,4:07,Tennessee Titans,Mason Rudolph 11 yard rush (Nick Folk kick),7,7
2024-10-27,Tennessee Titans,Detroit Lions,1,3:57,Detroit Lions,Jahmyr Gibbs 70 yard rush (Jake Bates kick),7,14
2024-10-27,Tennessee Titans,Detroit Lions,2,14:18,Tennessee Titans,Nick Westbrook-Ikhine 5 yard pass from Mason Rudolph (Nick Folk kick),14,14
2024-10-27,Tennessee Titans,Detroit Lions,2,12:51,Detroit Lions,Brock Wright 8 yard pass from Jared Goff (Jake Bates kick),14,21
2024-10-27,Tennessee Titans,Detroit Lions,2,11:37,Detroit Lions,Amon-Ra St. Brown 1 yard pass from Jared Goff (Jake Bates kick),14,28
2024-10-27,Tennessee Titans,Detroit Lions,2,2:18,Detroit Lions,Sam LaPorta 3 yard pass from David Montgomery (Jake Bates kick),14,35
2024-10-27,Tennessee Titans,Detroit Lions,3,12:46,Detroit Lions,Kalif Raymond 90 yard punt return (Jake Bates kick),14,42
2024-10-27,Tennessee Titans,Detroit Lions,3,6:12,Detroit Lions,Kalif Raymond 7 yard pass from Jared Goff (Jake Bates kick),14,49
2024-10-27,Tennessee Titans,Detroit Lions,3,1:08,Detroit Lions,Jake Bates 51 yard field goal,14,52
