Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-28,New York Giants,Pittsburgh Steelers,Daniel Jones,New York Giants,264,0,1,0,0,0,1,0,1
2024-10-28,New York Giants,Pittsburgh Steelers,Tyrone Tracy,New York Giants,0,0,0,2,5,0,145,1,0
2024-10-28,New York Giants,Pittsburgh Steelers,Devin Singletary,New York Giants,0,0,0,2,12,0,11,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Darius Slayton,New York Giants,0,0,0,4,108,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Malik Nabers,New York Giants,0,0,0,7,71,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Theo Johnson,New York Giants,0,0,0,3,35,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Wan'Dale Robinson,New York Giants,0,0,0,5,30,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Eric Gray,New York Giants,0,0,0,1,3,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Chris Manhertz,New York Giants,0,0,0,0,0,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Russell Wilson,Pittsburgh Steelers,278,1,0,0,0,0,7,0,1
2024-10-28,New York Giants,Pittsburgh Steelers,Najee Harris,Pittsburgh Steelers,0,0,0,3,17,0,114,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Jaylen Warren,Pittsburgh Steelers,0,0,0,2,13,0,46,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,George Pickens,Pittsburgh Steelers,0,0,0,4,74,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Van Jefferson,Pittsburgh Steelers,0,0,0,4,62,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Calvin Austin III,Pittsburgh Steelers,0,0,0,3,54,1,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Darnell Washington,Pittsburgh Steelers,0,0,0,1,29,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Pat Freiermuth,Pittsburgh Steelers,0,0,0,2,19,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,MyCole Pruitt,Pittsburgh Steelers,0,0,0,1,10,0,0,0,0
2024-10-28,New York Giants,Pittsburgh Steelers,Scott Miller,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0
