Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-10-28,New York Giants,Pittsburgh Steelers,1,10:19,Pittsburgh Steelers,Chris Boswell 31 yard field goal,0,3
2024-10-28,New York Giants,Pittsburgh Steelers,1,5:19,New York Giants,Greg Joseph 29 yard field goal,3,3
2024-10-28,New York Giants,Pittsburgh Steelers,1,3:05,Pittsburgh Steelers,Chris Boswell 25 yard field goal,3,6
2024-10-28,New York Giants,Pittsburgh Steelers,2,12:39,New York Giants,Greg Joseph 39 yard field goal,6,6
2024-10-28,New York Giants,Pittsburgh Steelers,2,8:12,Pittsburgh Steelers,Chris Boswell 27 yard field goal,6,9
2024-10-28,New York Giants,Pittsburgh Steelers,2,0:21,New York Giants,Greg Joseph 44 yard field goal,9,9
2024-10-28,New York Giants,Pittsburgh Steelers,3,4:38,Pittsburgh Steelers,Calvin Austin III 73 yard punt return (Chris Boswell kick),9,16
2024-10-28,New York Giants,Pittsburgh Steelers,4,13:16,Pittsburgh Steelers,Calvin Austin III 29 yard pass from Russell Wilson (Chris Boswell kick),9,23
2024-10-28,New York Giants,Pittsburgh Steelers,4,11:07,New York Giants,Tyrone Tracy 45 yard rush (pass failed),15,23
2024-10-28,New York Giants,Pittsburgh Steelers,4,7:15,Pittsburgh Steelers,Chris Boswell 27 yard field goal,15,26
2024-10-28,New York Giants,Pittsburgh Steelers,4,5:06,New York Giants,Greg Joseph 48 yard field goal,18,26
