Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-10-31,Houston Texans,New York Jets,C.J. Stroud,Houston Texans,191,0,0,0,0,0,59,0,1
2024-10-31,Houston Texans,New York Jets,Joe Mixon,Houston Texans,0,0,0,0,0,0,106,1,0
2024-10-31,Houston Texans,New York Jets,J.J. Taylor,Houston Texans,0,0,0,0,0,0,23,0,0
2024-10-31,Houston Texans,New York Jets,Tank Dell,Houston Texans,0,0,0,6,126,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Robert Woods,Houston Texans,0,0,0,2,44,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Dalton Schultz,Houston Texans,0,0,0,3,21,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Xavier Hutchinson,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-31,Houston Texans,New York Jets,John Metchie,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Cade Stover,Houston Texans,0,0,0,0,0,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Dare Ogunbowale,Houston Texans,0,0,0,0,0,0,-1,0,0
2024-10-31,Houston Texans,New York Jets,Aaron Rodgers,New York Jets,211,3,0,0,0,0,-1,0,0
2024-10-31,Houston Texans,New York Jets,Breece Hall,New York Jets,0,0,0,2,11,0,74,0,0
2024-10-31,Houston Texans,New York Jets,Malachi Corley,New York Jets,0,0,0,0,0,0,18,0,1
2024-10-31,Houston Texans,New York Jets,Braelon Allen,New York Jets,0,0,0,0,0,0,9,0,0
2024-10-31,Houston Texans,New York Jets,Davante Adams,New York Jets,0,0,0,7,91,1,0,0,0
2024-10-31,Houston Texans,New York Jets,Garrett Wilson,New York Jets,0,0,0,9,90,2,0,0,0
2024-10-31,Houston Texans,New York Jets,Kenny Yeboah,New York Jets,0,0,0,1,12,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Mike Williams,New York Jets,0,0,0,1,6,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Jeremy Ruckert,New York Jets,0,0,0,1,4,0,0,0,0
2024-10-31,Houston Texans,New York Jets,Tyler Conklin,New York Jets,0,0,0,1,-3,0,0,0,0
