Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Chicago Bears,Arizona Cardinals,Caleb Williams,Chicago Bears,217,0,0,0,0,0,5,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,D'Andre Swift,Chicago Bears,0,0,0,6,31,0,51,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Roschon Johnson,Chicago Bears,0,0,0,2,8,0,13,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Rome Odunze,Chicago Bears,0,0,0,5,104,0,0,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Keenan Allen,Chicago Bears,0,0,0,4,36,0,0,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,D.J. Moore,Chicago Bears,0,0,0,4,33,0,0,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Gerald Everett,Chicago Bears,0,0,0,1,5,0,0,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Kyler Murray,Arizona Cardinals,154,0,0,0,0,0,6,0,1
2024-11-03,Chicago Bears,Arizona Cardinals,James Conner,Arizona Cardinals,0,0,0,3,12,0,107,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Emari Demercado,Arizona Cardinals,0,0,0,2,21,0,59,1,0
2024-11-03,Chicago Bears,Arizona Cardinals,Trey Benson,Arizona Cardinals,0,0,0,1,18,0,37,1,0
2024-11-03,Chicago Bears,Arizona Cardinals,Trey McBride,Arizona Cardinals,0,0,0,3,35,0,2,1,0
2024-11-03,Chicago Bears,Arizona Cardinals,DeeJay Dallas,Arizona Cardinals,0,0,0,0,0,0,2,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Elijah Higgins,Arizona Cardinals,0,0,0,2,34,0,0,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,2,34,0,0,0,1
2024-11-03,Chicago Bears,Arizona Cardinals,Greg Dortch,Arizona Cardinals,0,0,0,0,0,0,0,0,0
2024-11-03,Chicago Bears,Arizona Cardinals,Michael Wilson,Arizona Cardinals,0,0,0,0,0,0,0,0,0
