Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Dallas Cowboys,Atlanta Falcons,Cooper Rush,Dallas Cowboys,115,1,0,0,0,0,4,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Dak Prescott,Dallas Cowboys,133,1,0,0,0,0,30,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Bryan Anger,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Rico Dowdle,Dallas Cowboys,0,0,0,5,32,1,75,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,CeeDee Lamb,Dallas Cowboys,0,0,0,8,47,0,15,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Dalvin Cook,Dallas Cowboys,0,0,0,0,0,0,8,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Hunter Luepke,Dallas Cowboys,0,0,0,2,4,0,5,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Jake Ferguson,Dallas Cowboys,0,0,0,7,71,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,KaVontae Turpin,Dallas Cowboys,0,0,0,3,36,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Jalen Brooks,Dallas Cowboys,0,0,0,2,26,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Jalen Tolbert,Dallas Cowboys,0,0,0,3,19,1,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Ryan Flournoy,Dallas Cowboys,0,0,0,1,13,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,C.J. Goodwin,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Kirk Cousins,Atlanta Falcons,222,3,0,0,0,0,-11,0,1
2024-11-03,Dallas Cowboys,Atlanta Falcons,Bijan Robinson,Atlanta Falcons,0,0,0,7,59,0,86,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Tyler Allgeier,Atlanta Falcons,0,0,0,0,0,0,18,1,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Ray-Ray McCloud,Atlanta Falcons,0,0,0,3,28,1,7,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Darnell Mooney,Atlanta Falcons,0,0,0,5,88,1,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Drake London,Atlanta Falcons,0,0,0,2,27,1,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,Kyle Pitts,Atlanta Falcons,0,0,0,1,11,0,0,0,0
2024-11-03,Dallas Cowboys,Atlanta Falcons,KhaDarel Hodge,Atlanta Falcons,0,0,0,1,9,0,0,0,0
