Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Denver Broncos,Baltimore Ravens,Bo Nix,Denver Broncos,223,0,1,1,2,1,36,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Courtland Sutton,Denver Broncos,2,1,0,7,122,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Javonte Williams,Denver Broncos,0,0,0,2,42,0,42,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Audric Estime,Denver Broncos,0,0,0,0,0,0,35,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Jaleel McLaughlin,Denver Broncos,0,0,0,3,10,0,10,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Troy Franklin,Denver Broncos,0,0,0,1,19,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Devaughn Vele,Denver Broncos,0,0,0,2,11,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Lil'Jordan Humphrey,Denver Broncos,0,0,0,2,11,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Adam Trautman,Denver Broncos,0,0,0,1,4,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Marvin Mims,Denver Broncos,0,0,0,1,4,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Lucas Krull,Denver Broncos,0,0,0,0,0,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Michael Burton,Denver Broncos,0,0,0,0,0,0,-1,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Lamar Jackson,Baltimore Ravens,280,3,0,0,0,0,4,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Derrick Henry,Baltimore Ravens,0,0,0,1,27,0,106,2,0
2024-11-03,Denver Broncos,Baltimore Ravens,Justice Hill,Baltimore Ravens,0,0,0,3,43,0,15,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Josh Johnson,Baltimore Ravens,0,0,0,0,0,0,2,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Zay Flowers,Baltimore Ravens,0,0,0,5,127,2,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Nelson Agholor,Baltimore Ravens,0,0,0,1,29,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Mark Andrews,Baltimore Ravens,0,0,0,2,26,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Rashod Bateman,Baltimore Ravens,0,0,0,3,25,0,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Patrick Ricard,Baltimore Ravens,0,0,0,1,3,1,0,0,0
2024-11-03,Denver Broncos,Baltimore Ravens,Isaiah Likely,Baltimore Ravens,0,0,0,0,0,0,0,0,0
