Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Detroit Lions,Green Bay Packers,Jared Goff,Detroit Lions,145,1,0,0,0,0,-2,0,0
2024-11-03,Detroit Lions,Green Bay Packers,David Montgomery,Detroit Lions,0,0,0,3,23,0,73,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Jahmyr Gibbs,Detroit Lions,0,0,0,1,11,0,65,1,0
2024-11-03,Detroit Lions,Green Bay Packers,Amon-Ra St. Brown,Detroit Lions,0,0,0,7,56,1,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Sam LaPorta,Detroit Lions,0,0,0,2,28,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Tim Patrick,Detroit Lions,0,0,0,2,12,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Allen Robinson,Detroit Lions,0,0,0,1,2,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Brock Wright,Detroit Lions,0,0,0,1,1,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Kalif Raymond,Detroit Lions,0,0,0,1,12,0,-12,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Jordan Love,Green Bay Packers,273,0,1,0,0,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Josh Jacobs,Green Bay Packers,0,0,0,2,13,0,95,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Emanuel Wilson,Green Bay Packers,0,0,0,1,1,0,28,1,0
2024-11-03,Detroit Lions,Green Bay Packers,Chris Brooks,Green Bay Packers,0,0,0,3,28,0,13,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Tucker Kraft,Green Bay Packers,0,0,0,4,34,0,2,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Jayden Reed,Green Bay Packers,0,0,0,5,113,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Christian Watson,Green Bay Packers,0,0,0,3,37,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Romeo Doubs,Green Bay Packers,0,0,0,4,28,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Bo Melton,Green Bay Packers,0,0,0,1,19,0,0,0,0
2024-11-03,Detroit Lions,Green Bay Packers,Dontayvion Wicks,Green Bay Packers,0,0,0,0,0,0,0,0,0
