Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Indianapolis Colts,Minnesota Vikings,Joe Flacco,Indianapolis Colts,179,0,1,0,0,0,-1,0,1
2024-11-03,Indianapolis Colts,Minnesota Vikings,Jonathan Taylor,Indianapolis Colts,0,0,0,3,11,0,48,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,17,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Trey Sermon,Indianapolis Colts,0,0,0,1,9,0,4,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Josh Downs,Indianapolis Colts,0,0,0,6,60,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Alec Pierce,Indianapolis Colts,0,0,0,3,41,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Adonai Mitchell,Indianapolis Colts,0,0,0,1,22,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Kylen Granson,Indianapolis Colts,0,0,0,1,22,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Michael Pittman Jr.,Indianapolis Colts,0,0,0,1,14,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Sam Darnold,Minnesota Vikings,290,3,2,0,0,0,14,0,1
2024-11-03,Indianapolis Colts,Minnesota Vikings,Justin Jefferson,Minnesota Vikings,22,0,0,7,137,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Aaron Jones,Minnesota Vikings,0,0,0,4,18,0,64,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Cam Akers,Minnesota Vikings,0,0,0,2,7,0,46,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Jordan Addison,Minnesota Vikings,0,0,0,5,42,1,9,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Josh Oliver,Minnesota Vikings,0,0,0,5,58,1,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,T.J. Hockenson,Minnesota Vikings,0,0,0,3,27,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Brandon Powell,Minnesota Vikings,0,0,0,1,9,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Jalen Nailor,Minnesota Vikings,0,0,0,1,7,1,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Trent Sherfield,Minnesota Vikings,0,0,0,1,7,0,0,0,0
2024-11-03,Indianapolis Colts,Minnesota Vikings,Johnny Mundt,Minnesota Vikings,0,0,0,0,0,0,0,0,0
