Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Trevor Lawrence,Jacksonville Jaguars,169,0,2,0,0,0,8,2,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Travis Etienne,Jacksonville Jaguars,0,0,0,2,6,0,24,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,22,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,D'Ernest Johnson,Jacksonville Jaguars,0,0,0,0,0,0,6,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Evan Engram,Jacksonville Jaguars,0,0,0,5,45,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Parker Washington,Jacksonville Jaguars,0,0,0,3,41,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Austin Trammell,Jacksonville Jaguars,0,0,0,2,40,0,0,0,1
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Brian Thomas,Jacksonville Jaguars,0,0,0,2,22,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Tim Jones,Jacksonville Jaguars,0,0,0,1,10,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Luke Farrell,Jacksonville Jaguars,0,0,0,1,5,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Jalen Hurts,Philadelphia Eagles,230,2,0,0,0,0,67,1,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Saquon Barkley,Philadelphia Eagles,0,0,0,3,40,1,159,1,1
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Kenneth Gainwell,Philadelphia Eagles,0,0,0,1,1,0,9,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Ainias Smith,Philadelphia Eagles,0,0,0,1,0,0,2,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,DeVonta Smith,Philadelphia Eagles,0,0,0,4,87,1,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Jahan Dotson,Philadelphia Eagles,0,0,0,1,36,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,A.J. Brown,Philadelphia Eagles,0,0,0,2,36,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Grant Calcaterra,Philadelphia Eagles,0,0,0,5,30,0,0,0,0
2024-11-03,Jacksonville Jaguars,Philadelphia Eagles,Ben VanSumeren,Philadelphia Eagles,0,0,0,1,0,0,0,0,0
