Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Gardner Minshew II,Las Vegas Raiders,124,0,0,0,0,0,0,0,1
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Desmond Ridder,Las Vegas Raiders,74,1,0,0,0,0,2,0,1
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Alexander Mattison,Las Vegas Raiders,0,0,0,0,0,0,36,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Ameer Abdullah,Las Vegas Raiders,0,0,0,3,14,0,12,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Zamir White,Las Vegas Raiders,0,0,0,0,0,0,10,1,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Jakobi Meyers,Las Vegas Raiders,0,0,0,8,105,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Brock Bowers,Las Vegas Raiders,0,0,0,5,45,1,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Harrison Bryant,Las Vegas Raiders,0,0,0,2,22,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Ramel Keyton,Las Vegas Raiders,0,0,0,1,7,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Tre Tucker,Las Vegas Raiders,0,0,0,2,5,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Joe Burrow,Cincinnati Bengals,251,5,1,0,0,0,11,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Chase Brown,Cincinnati Bengals,0,0,0,5,37,1,120,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Mike Gesicki,Cincinnati Bengals,0,0,0,5,100,2,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Ja'Marr Chase,Cincinnati Bengals,0,0,0,7,43,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Erick All,Cincinnati Bengals,0,0,0,2,24,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Drew Sample,Cincinnati Bengals,0,0,0,4,14,1,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Tanner Hudson,Cincinnati Bengals,0,0,0,2,14,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Andrei Iosivas,Cincinnati Bengals,0,0,0,1,10,1,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Kendric Pryor,Cincinnati Bengals,0,0,0,1,9,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Trenton Irwin,Cincinnati Bengals,0,0,0,0,0,0,0,0,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,Jake Browning,Cincinnati Bengals,0,0,0,0,0,0,-1,0,0
