Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,1,9:36,Las Vegas Raiders,Zamir White 1 yard rush (Daniel Carlson kick),7,0
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,1,1:39,Cincinnati Bengals,Chase Brown 1 yard pass from Joe Burrow (Evan McPherson kick),7,7
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,2,7:00,Cincinnati Bengals,Evan McPherson 44 yard field goal,7,10
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,2,2:58,Las Vegas Raiders,Daniel Carlson 46 yard field goal,10,10
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,2,0:32,Cincinnati Bengals,Andrei Iosivas 10 yard pass from Joe Burrow (Evan McPherson kick),10,17
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,3,11:27,Cincinnati Bengals,Drew Sample 2 yard pass from Joe Burrow (Evan McPherson kick),10,24
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,3,7:34,Cincinnati Bengals,Mike Gesicki 11 yard pass from Joe Burrow (Evan McPherson kick),10,31
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,4,13:17,Las Vegas Raiders,Jack Jones 29 yard interception return (Daniel Carlson kick),17,31
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,4,5:37,Cincinnati Bengals,Mike Gesicki 47 yard pass from Joe Burrow (Evan McPherson kick),17,38
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,4,1:53,Cincinnati Bengals,Evan McPherson 27 yard field goal,17,41
2024-11-03,Las Vegas Raiders,Cincinnati Bengals,4,0:41,Las Vegas Raiders,Brock Bowers 22 yard pass from Desmond Ridder (Daniel Carlson kick),24,41
