Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Los Angeles Chargers,Cleveland Browns,Justin Herbert,Los Angeles Chargers,282,2,0,0,0,0,2,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,J.K. Dobbins,Los Angeles Chargers,0,0,0,2,20,0,85,2,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Kimani Vidal,Los Angeles Chargers,0,0,0,0,0,0,7,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Quentin Johnston,Los Angeles Chargers,0,0,0,4,118,1,2,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Ladd McConkey,Los Angeles Chargers,0,0,0,5,64,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Josh Palmer,Los Angeles Chargers,0,0,0,2,63,1,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Will Dissly,Los Angeles Chargers,0,0,0,2,9,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Hayden Hurst,Los Angeles Chargers,0,0,0,1,6,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Eric Tomlinson,Los Angeles Chargers,0,0,0,1,2,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Simi Fehoko,Los Angeles Chargers,0,0,0,0,0,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Jalen Reagor,Los Angeles Chargers,0,0,0,1,0,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Jameis Winston,Cleveland Browns,235,1,3,0,0,0,27,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Nick Chubb,Cleveland Browns,0,0,0,1,-4,0,39,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Pierre Strong,Cleveland Browns,0,0,0,0,0,0,8,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Jerome Ford,Cleveland Browns,0,0,0,1,2,0,5,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Cedric Tillman,Cleveland Browns,0,0,0,6,75,1,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Jerry Jeudy,Cleveland Browns,0,0,0,7,73,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Jordan Akins,Cleveland Browns,0,0,0,3,32,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,David Njoku,Cleveland Browns,0,0,0,5,29,0,0,0,0
2024-11-03,Los Angeles Chargers,Cleveland Browns,Elijah Moore,Cleveland Browns,0,0,0,3,28,0,0,0,0
