Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Los Angeles Rams,Seattle Seahawks,Matthew Stafford,Los Angeles Rams,298,2,1,0,0,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Kyren Williams,Los Angeles Rams,0,0,0,1,26,0,69,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Cooper Kupp,Los Angeles Rams,0,0,0,11,104,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Demarcus Robinson,Los Angeles Rams,0,0,0,6,94,2,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Tyler Johnson,Los Angeles Rams,0,0,0,3,38,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Tutu Atwell,Los Angeles Rams,0,0,0,1,16,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Puka Nacua,Los Angeles Rams,0,0,0,1,11,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Davis Allen,Los Angeles Rams,0,0,0,1,5,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Hunter Long,Los Angeles Rams,0,0,0,1,4,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Blake Corum,Los Angeles Rams,0,0,0,0,0,0,-1,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Geno Smith,Seattle Seahawks,363,3,3,0,0,0,16,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Kenneth Walker III,Seattle Seahawks,0,0,0,3,24,0,83,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Zach Charbonnet,Seattle Seahawks,0,0,0,2,25,0,8,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Jaxon Smith-Njigba,Seattle Seahawks,0,0,0,7,180,2,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Tyler Lockett,Seattle Seahawks,0,0,0,3,63,1,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Cody White,Seattle Seahawks,0,0,0,2,44,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,AJ Barner,Seattle Seahawks,0,0,0,4,27,0,0,0,0
2024-11-03,Los Angeles Rams,Seattle Seahawks,Jake Bobo,Seattle Seahawks,0,0,0,0,0,0,0,0,0
