Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Miami Dolphins,Buffalo Bills,Tua Tagovailoa,Miami Dolphins,231,2,0,0,0,0,3,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,De'Von Achane,Miami Dolphins,0,0,0,8,58,1,63,1,0
2024-11-03,Miami Dolphins,Buffalo Bills,Raheem Mostert,Miami Dolphins,0,0,0,2,32,0,56,0,1
2024-11-03,Miami Dolphins,Buffalo Bills,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,18,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Malik Washington,Miami Dolphins,0,0,0,0,0,0,9,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Tyreek Hill,Miami Dolphins,0,0,0,4,80,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Jonnu Smith,Miami Dolphins,0,0,0,5,46,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Odell Beckham Jr.,Miami Dolphins,0,0,0,3,15,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Durham Smythe,Miami Dolphins,0,0,0,1,4,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Jaylen Waddle,Miami Dolphins,0,0,0,2,-4,1,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Josh Allen,Buffalo Bills,235,3,1,0,0,0,7,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,James Cook,Buffalo Bills,0,0,0,5,25,0,44,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Ty Johnson,Buffalo Bills,0,0,0,0,0,0,23,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Ray Davis,Buffalo Bills,0,0,0,2,70,1,20,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Khalil Shakir,Buffalo Bills,0,0,0,6,50,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Dalton Kincaid,Buffalo Bills,0,0,0,4,32,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Mack Hollins,Buffalo Bills,0,0,0,5,30,1,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Keon Coleman,Buffalo Bills,0,0,0,1,21,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Dawson Knox,Buffalo Bills,0,0,0,1,5,0,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Quintin Morris,Buffalo Bills,0,0,0,1,2,1,0,0,0
2024-11-03,Miami Dolphins,Buffalo Bills,Curtis Samuel,Buffalo Bills,0,0,0,0,0,0,0,0,0
