Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-03,Miami Dolphins,Buffalo Bills,1,6:30,Buffalo Bills,Tyler Bass 40 yard field goal,0,3
2024-11-03,Miami Dolphins,Buffalo Bills,1,1:19,Miami Dolphins,Jason Sanders 39 yard field goal,3,3
2024-11-03,Miami Dolphins,Buffalo Bills,2,3:20,Miami Dolphins,De'Von Achane 14 yard pass from Tua Tagovailoa (Jason Sanders kick),10,3
2024-11-03,Miami Dolphins,Buffalo Bills,2,0:07,Buffalo Bills,Tyler Bass 49 yard field goal,10,6
2024-11-03,Miami Dolphins,Buffalo Bills,3,7:20,Buffalo Bills,Mack Hollins 1 yard pass from Josh Allen (Tyler Bass kick failed),10,12
2024-11-03,Miami Dolphins,Buffalo Bills,3,2:59,Miami Dolphins,Jason Sanders 23 yard field goal,13,12
2024-11-03,Miami Dolphins,Buffalo Bills,3,2:07,Buffalo Bills,Ray Davis 63 yard pass from Josh Allen (Keon Coleman pass from Josh Allen),13,20
2024-11-03,Miami Dolphins,Buffalo Bills,4,12:14,Miami Dolphins,De'Von Achane 8 yard rush (Jason Sanders kick),20,20
2024-11-03,Miami Dolphins,Buffalo Bills,4,6:18,Buffalo Bills,Quintin Morris 2 yard pass from Josh Allen (Tyler Bass kick),20,27
2024-11-03,Miami Dolphins,Buffalo Bills,4,1:38,Miami Dolphins,Jaylen Waddle 7 yard pass from Tua Tagovailoa (Jason Sanders kick),27,27
2024-11-03,Miami Dolphins,Buffalo Bills,4,0:05,Buffalo Bills,Tyler Bass 61 yard field goal,27,30
