Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,New England Patriots,Tennessee Titans,Drake Maye,New England Patriots,206,1,2,0,0,0,95,0,1
2024-11-03,New England Patriots,Tennessee Titans,Rhamondre Stevenson,New England Patriots,0,0,0,5,38,1,16,1,0
2024-11-03,New England Patriots,Tennessee Titans,Hunter Henry,New England Patriots,0,0,0,7,56,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Kendrick Bourne,New England Patriots,0,0,0,4,41,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Demario Douglas,New England Patriots,0,0,0,7,35,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Kayshon Boutte,New England Patriots,0,0,0,2,18,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Austin Hooper,New England Patriots,0,0,0,1,8,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Jaheim Bell,New England Patriots,0,0,0,1,1,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Ja'Lynn Polk,New England Patriots,0,0,0,0,0,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Jamycal Hasty,New England Patriots,0,0,0,1,-3,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Antonio Gibson,New England Patriots,0,0,0,1,12,0,-1,0,0
2024-11-03,New England Patriots,Tennessee Titans,Mason Rudolph,Tennessee Titans,240,2,1,0,0,0,19,0,0
2024-11-03,New England Patriots,Tennessee Titans,Tony Pollard,Tennessee Titans,0,0,0,3,26,0,128,0,0
2024-11-03,New England Patriots,Tennessee Titans,Julius Chestnut,Tennessee Titans,0,0,0,0,0,0,22,0,0
2024-11-03,New England Patriots,Tennessee Titans,Tyler Boyd,Tennessee Titans,0,0,0,0,0,0,3,0,0
2024-11-03,New England Patriots,Tennessee Titans,Calvin Ridley,Tennessee Titans,0,0,0,5,73,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Nick Westbrook-Ikhine,Tennessee Titans,0,0,0,5,50,1,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Chigoziem Okonkwo,Tennessee Titans,0,0,0,3,38,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Nick Vannett,Tennessee Titans,0,0,0,2,33,1,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Josh Whyle,Tennessee Titans,0,0,0,1,12,0,0,0,0
2024-11-03,New England Patriots,Tennessee Titans,Jha'Quan Jackson,Tennessee Titans,0,0,0,1,8,0,-5,0,0
