Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,New Orleans Saints,Carolina Panthers,Derek Carr,New Orleans Saints,236,1,0,0,0,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Taysom Hill,New Orleans Saints,0,0,0,4,41,0,19,1,0
2024-11-03,New Orleans Saints,Carolina Panthers,Alvin Kamara,New Orleans Saints,0,0,0,6,60,0,155,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Jordan Mims,New Orleans Saints,0,0,0,1,25,0,13,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Matthew Hayball,New Orleans Saints,0,0,0,0,0,0,11,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Juwan Johnson,New Orleans Saints,0,0,0,2,41,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Cedrick Wilson Jr.,New Orleans Saints,0,0,0,2,34,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Foster Moreau,New Orleans Saints,0,0,0,1,17,1,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Chris Olave,New Orleans Saints,0,0,0,1,13,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Marquez Valdes-Scantling,New Orleans Saints,0,0,0,1,5,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Adam Prentice,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Mason Tipton,New Orleans Saints,0,0,0,0,0,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Jermaine Jackson,New Orleans Saints,0,0,0,0,0,0,-1,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Bryce Young,Carolina Panthers,171,1,1,0,0,0,9,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Chuba Hubbard,Carolina Panthers,0,0,0,2,0,0,72,2,0
2024-11-03,New Orleans Saints,Carolina Panthers,Xavier Legette,Carolina Panthers,0,0,0,4,33,1,6,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Ja'Tavion Sanders,Carolina Panthers,0,0,0,4,87,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Jalen Coker,Carolina Panthers,0,0,0,2,36,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,David Moore,Carolina Panthers,0,0,0,2,20,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Jonathan Mingo,Carolina Panthers,0,0,0,0,0,0,0,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Deven Thompkins,Carolina Panthers,0,0,0,0,0,0,-2,0,0
2024-11-03,New Orleans Saints,Carolina Panthers,Miles Sanders,Carolina Panthers,0,0,0,2,-5,0,-5,0,0
