Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-03,Washington Commanders,New York Giants,Jayden Daniels,Washington Commanders,209,2,0,0,0,0,35,0,0
2024-11-03,Washington Commanders,New York Giants,Chris Rodriguez,Washington Commanders,0,0,0,0,0,0,52,0,0
2024-11-03,Washington Commanders,New York Giants,Austin Ekeler,Washington Commanders,0,0,0,3,41,0,42,1,0
2024-11-03,Washington Commanders,New York Giants,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,20,0,0
2024-11-03,Washington Commanders,New York Giants,Noah Brown,Washington Commanders,0,0,0,5,60,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Olamide Zaccheaus,Washington Commanders,0,0,0,2,48,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Dyami Brown,Washington Commanders,0,0,0,1,24,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Terry McLaurin,Washington Commanders,0,0,0,2,19,2,0,0,0
2024-11-03,Washington Commanders,New York Giants,Ben Sinnott,Washington Commanders,0,0,0,1,12,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Zach Ertz,Washington Commanders,0,0,0,1,5,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Daniel Jones,New York Giants,174,2,0,0,0,0,54,1,1
2024-11-03,Washington Commanders,New York Giants,Tyrone Tracy,New York Giants,0,0,0,1,3,0,66,0,0
2024-11-03,Washington Commanders,New York Giants,Devin Singletary,New York Giants,0,0,0,0,0,0,33,0,0
2024-11-03,Washington Commanders,New York Giants,Darius Slayton,New York Giants,0,0,0,3,49,0,11,0,0
2024-11-03,Washington Commanders,New York Giants,Malik Nabers,New York Giants,0,0,0,9,59,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Theo Johnson,New York Giants,0,0,0,3,51,1,0,0,0
2024-11-03,Washington Commanders,New York Giants,Wan'Dale Robinson,New York Giants,0,0,0,3,10,0,0,0,0
2024-11-03,Washington Commanders,New York Giants,Chris Manhertz,New York Giants,0,0,0,1,2,1,0,0,0
