Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Baker Mayfield,Tampa Bay Buccaneers,200,2,0,0,0,0,20,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Bucky Irving,Tampa Bay Buccaneers,0,0,0,3,10,0,24,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,4,48,0,21,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Rachaad White,Tampa Bay Buccaneers,0,0,0,3,16,0,19,1,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Sean Tucker,Tampa Bay Buccaneers,0,0,0,1,6,0,11,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Cade Otton,Tampa Bay Buccaneers,0,0,0,8,77,1,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Trey Palmer,Tampa Bay Buccaneers,0,0,0,2,33,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Rakim Jarrett,Tampa Bay Buccaneers,0,0,0,1,9,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Ryan Miller,Tampa Bay Buccaneers,0,0,0,1,1,1,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,291,3,0,0,0,0,9,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Kareem Hunt,Kansas City Chiefs,0,0,0,1,11,0,106,1,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Samaje Perine,Kansas City Chiefs,0,0,0,4,25,1,10,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Carson Steele,Kansas City Chiefs,0,0,0,0,0,0,9,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Travis Kelce,Kansas City Chiefs,0,0,0,14,100,0,0,0,1
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,DeAndre Hopkins,Kansas City Chiefs,0,0,0,8,86,2,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Justin Watson,Kansas City Chiefs,0,0,0,3,43,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Mecole Hardman,Kansas City Chiefs,0,0,0,3,17,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Peyton Hendershot,Kansas City Chiefs,0,0,0,1,9,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Noah Gray,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
2024-11-04,Tampa Bay Buccaneers,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,0,0,0,0,0,0,-10,0,0
