Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Joe Burrow,Cincinnati Bengals,428,4,0,0,0,0,6,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Chase Brown,Cincinnati Bengals,0,0,0,9,52,0,42,1,1
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Tanner Hudson,Cincinnati Bengals,0,0,0,6,42,1,1,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Ja'Marr Chase,Cincinnati Bengals,0,0,0,11,264,3,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Mike Gesicki,Cincinnati Bengals,0,0,0,4,30,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Andrei Iosivas,Cincinnati Bengals,0,0,0,2,29,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Jermaine Burton,Cincinnati Bengals,0,0,0,1,11,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Cam Grandy,Cincinnati Bengals,0,0,0,1,0,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Lamar Jackson,Baltimore Ravens,290,4,0,0,0,0,33,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Derrick Henry,Baltimore Ravens,0,0,0,1,3,0,68,1,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Tylan Wallace,Baltimore Ravens,0,0,0,3,115,1,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Mark Andrews,Baltimore Ravens,0,0,0,6,68,1,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Rashod Bateman,Baltimore Ravens,0,0,0,6,54,1,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Zay Flowers,Baltimore Ravens,0,0,0,4,34,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Diontae Johnson,Baltimore Ravens,0,0,0,1,6,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Nelson Agholor,Baltimore Ravens,0,0,0,1,6,1,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Charlie Kolar,Baltimore Ravens,0,0,0,1,4,0,0,0,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,Justice Hill,Baltimore Ravens,0,0,0,2,0,0,-2,0,0
