Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-07,Cincinnati Bengals,Baltimore Ravens,1,9:23,Cincinnati Bengals,Chase Brown 1 yard rush (Evan McPherson kick),7,0
2024-11-07,Cincinnati Bengals,Baltimore Ravens,2,13:04,Baltimore Ravens,Nelson Agholor 6 yard pass from Lamar Jackson (Justin Tucker kick),7,7
2024-11-07,Cincinnati Bengals,Baltimore Ravens,2,0:30,Cincinnati Bengals,Tanner Hudson 3 yard pass from Joe Burrow (Evan McPherson kick),14,7
2024-11-07,Cincinnati Bengals,Baltimore Ravens,3,13:09,Cincinnati Bengals,Ja'Marr Chase 67 yard pass from Joe Burrow (Evan McPherson kick),21,7
2024-11-07,Cincinnati Bengals,Baltimore Ravens,3,4:12,Baltimore Ravens,Derrick Henry 1 yard rush (Justin Tucker kick),21,14
2024-11-07,Cincinnati Bengals,Baltimore Ravens,4,13:30,Baltimore Ravens,Tylan Wallace 84 yard pass from Lamar Jackson (Justin Tucker kick failed),21,20
2024-11-07,Cincinnati Bengals,Baltimore Ravens,4,5:50,Baltimore Ravens,Mark Andrews 18 yard pass from Lamar Jackson (Lamar Jackson run),21,28
2024-11-07,Cincinnati Bengals,Baltimore Ravens,4,5:37,Cincinnati Bengals,Ja'Marr Chase 70 yard pass from Joe Burrow (Evan McPherson kick),28,28
2024-11-07,Cincinnati Bengals,Baltimore Ravens,4,1:49,Baltimore Ravens,Rashod Bateman 5 yard pass from Lamar Jackson (Justin Tucker kick),28,35
2024-11-07,Cincinnati Bengals,Baltimore Ravens,4,0:38,Cincinnati Bengals,Ja'Marr Chase 5 yard pass from Joe Burrow (pass failed),34,35
