Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Atlanta Falcons,New Orleans Saints,Kirk Cousins,Atlanta Falcons,306,0,1,0,0,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Bijan Robinson,Atlanta Falcons,0,0,0,3,28,0,116,2,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Tyler Allgeier,Atlanta Falcons,0,0,0,0,0,0,59,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Ray-Ray McCloud,Atlanta Falcons,0,0,0,3,30,0,6,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Drake London,Atlanta Falcons,0,0,0,8,97,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Darnell Mooney,Atlanta Falcons,0,0,0,5,96,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Kyle Pitts,Atlanta Falcons,0,0,0,4,55,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Charlie Woerner,Atlanta Falcons,0,0,0,0,0,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Derek Carr,New Orleans Saints,269,2,0,0,0,0,17,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Alvin Kamara,New Orleans Saints,0,0,0,5,54,0,55,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Taysom Hill,New Orleans Saints,0,0,0,2,36,0,14,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Jordan Mims,New Orleans Saints,0,0,0,1,4,0,10,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Marquez Valdes-Scantling,New Orleans Saints,0,0,0,3,109,2,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Kevin Austin,New Orleans Saints,0,0,0,2,36,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Juwan Johnson,New Orleans Saints,0,0,0,2,22,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Dante Pettis,New Orleans Saints,0,0,0,1,8,0,0,0,0
2024-11-10,Atlanta Falcons,New Orleans Saints,Foster Moreau,New Orleans Saints,0,0,0,0,0,0,0,0,0
