Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Buffalo Bills,Indianapolis Colts,Josh Allen,Buffalo Bills,280,0,2,0,0,0,50,1,0
2024-11-10,Buffalo Bills,Indianapolis Colts,James Cook,Buffalo Bills,0,0,0,1,5,0,80,1,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Ray Davis,Buffalo Bills,0,0,0,0,0,0,6,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Mack Hollins,Buffalo Bills,0,0,0,4,86,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Khalil Shakir,Buffalo Bills,0,0,0,6,58,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Dawson Knox,Buffalo Bills,0,0,0,2,40,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Curtis Samuel,Buffalo Bills,0,0,0,4,35,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Ty Johnson,Buffalo Bills,0,0,0,3,32,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Dalton Kincaid,Buffalo Bills,0,0,0,2,24,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Mitchell Trubisky,Buffalo Bills,0,0,0,0,0,0,-1,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Joe Flacco,Indianapolis Colts,272,2,3,0,0,0,0,0,1
2024-11-10,Buffalo Bills,Indianapolis Colts,Jonathan Taylor,Indianapolis Colts,0,0,0,2,8,0,114,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Ashton Dulin,Indianapolis Colts,0,0,0,0,0,0,7,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Alec Pierce,Indianapolis Colts,0,0,0,4,81,1,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Josh Downs,Indianapolis Colts,0,0,0,7,72,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Adonai Mitchell,Indianapolis Colts,0,0,0,6,71,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Kylen Granson,Indianapolis Colts,0,0,0,2,15,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Will Mallory,Indianapolis Colts,0,0,0,1,10,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Tyler Goodson,Indianapolis Colts,0,0,0,2,9,1,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Trey Sermon,Indianapolis Colts,0,0,0,1,4,0,0,0,0
2024-11-10,Buffalo Bills,Indianapolis Colts,Andrew Ogletree,Indianapolis Colts,0,0,0,1,2,0,0,0,0
