Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-10,Buffalo Bills,Indianapolis Colts,1,12:14,Buffalo Bills,Taron Johnson 23 yard interception return (Tyler Bass kick),7,0
2024-11-10,Buffalo Bills,Indianapolis Colts,1,5:33,Buffalo Bills,Tyler Bass 29 yard field goal,10,0
2024-11-10,Buffalo Bills,Indianapolis Colts,1,3:31,Indianapolis Colts,Matt Gay 27 yard field goal,10,3
2024-11-10,Buffalo Bills,Indianapolis Colts,2,9:20,Indianapolis Colts,Tyler Goodson 2 yard pass from Joe Flacco (Matt Gay kick),10,10
2024-11-10,Buffalo Bills,Indianapolis Colts,2,6:32,Indianapolis Colts,Matt Gay 23 yard field goal,10,13
2024-11-10,Buffalo Bills,Indianapolis Colts,2,2:14,Buffalo Bills,Josh Allen 13 yard rush (Tyler Bass kick),17,13
2024-11-10,Buffalo Bills,Indianapolis Colts,2,0:00,Buffalo Bills,Tyler Bass 47 yard field goal,20,13
2024-11-10,Buffalo Bills,Indianapolis Colts,4,10:58,Buffalo Bills,Tyler Bass 28 yard field goal,23,13
2024-11-10,Buffalo Bills,Indianapolis Colts,4,3:04,Buffalo Bills,James Cook 2 yard rush (Tyler Bass kick),30,13
2024-11-10,Buffalo Bills,Indianapolis Colts,4,0:02,Indianapolis Colts,Alec Pierce 10 yard pass from Joe Flacco (Matt Gay kick),30,20
