Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Denver Broncos,Kansas City Chiefs,Bo Nix,Denver Broncos,215,2,0,0,0,0,-5,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Audric Estime,Denver Broncos,0,0,0,0,0,0,53,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Marvin Mims,Denver Broncos,0,0,0,4,13,0,17,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Jaleel McLaughlin,Denver Broncos,0,0,0,0,0,0,12,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Javonte Williams,Denver Broncos,0,0,0,2,6,0,1,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Courtland Sutton,Denver Broncos,0,0,0,6,70,1,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Devaughn Vele,Denver Broncos,0,0,0,4,39,1,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Adam Trautman,Denver Broncos,0,0,0,1,34,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Lil'Jordan Humphrey,Denver Broncos,0,0,0,2,23,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Lucas Krull,Denver Broncos,0,0,0,2,21,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Troy Franklin,Denver Broncos,0,0,0,1,9,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Patrick Mahomes,Kansas City Chiefs,266,1,0,0,0,0,19,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Kareem Hunt,Kansas City Chiefs,0,0,0,7,65,0,35,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Carson Steele,Kansas City Chiefs,0,0,0,0,0,0,3,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Travis Kelce,Kansas City Chiefs,0,0,0,8,64,1,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,DeAndre Hopkins,Kansas City Chiefs,0,0,0,4,56,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Samaje Perine,Kansas City Chiefs,0,0,0,2,37,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Noah Gray,Kansas City Chiefs,0,0,0,2,18,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Xavier Worthy,Kansas City Chiefs,0,0,0,1,11,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Peyton Hendershot,Kansas City Chiefs,0,0,0,1,6,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Justin Watson,Kansas City Chiefs,0,0,0,2,6,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Mecole Hardman,Kansas City Chiefs,0,0,0,1,3,0,0,0,0
2024-11-10,Denver Broncos,Kansas City Chiefs,Justyn Ross,Kansas City Chiefs,0,0,0,0,0,0,0,0,0
