Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Detroit Lions,Houston Texans,Jared Goff,Detroit Lions,240,2,5,0,0,0,2,0,0
2024-11-10,Detroit Lions,Houston Texans,Jahmyr Gibbs,Detroit Lions,0,0,0,2,37,0,71,0,0
2024-11-10,Detroit Lions,Houston Texans,David Montgomery,Detroit Lions,0,0,0,1,24,0,32,1,0
2024-11-10,Detroit Lions,Houston Texans,Sam LaPorta,Detroit Lions,0,0,0,3,66,1,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Amon-Ra St. Brown,Detroit Lions,0,0,0,6,60,1,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Jameson Williams,Detroit Lions,0,0,0,3,53,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,C.J. Stroud,Houston Texans,232,1,2,0,0,0,5,0,0
2024-11-10,Detroit Lions,Houston Texans,Joe Mixon,Houston Texans,0,0,0,2,44,0,46,1,0
2024-11-10,Detroit Lions,Houston Texans,Dare Ogunbowale,Houston Texans,0,0,0,0,0,0,11,0,0
2024-11-10,Detroit Lions,Houston Texans,John Metchie,Houston Texans,0,0,0,5,74,1,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Dalton Schultz,Houston Texans,0,0,0,3,66,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Xavier Hutchinson,Houston Texans,0,0,0,2,6,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Cade Stover,Houston Texans,0,0,0,1,2,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Robert Woods,Houston Texans,0,0,0,1,1,0,0,0,0
2024-11-10,Detroit Lions,Houston Texans,Tank Dell,Houston Texans,0,0,0,5,39,0,-6,0,0
