Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-10,Detroit Lions,Houston Texans,1,7:46,Houston Texans,Joe Mixon 8 yard rush (Ka'imi Fairbairn kick),0,7
2024-11-10,Detroit Lions,Houston Texans,1,2:09,Houston Texans,Ka'imi Fairbairn 34 yard field goal,0,10
2024-11-10,Detroit Lions,Houston Texans,2,10:52,Detroit Lions,Sam LaPorta 20 yard pass from Jared Goff (Jake Bates kick),7,10
2024-11-10,Detroit Lions,Houston Texans,2,8:25,Houston Texans,Ka'imi Fairbairn 56 yard field goal,7,13
2024-11-10,Detroit Lions,Houston Texans,2,4:07,Houston Texans,Ka'imi Fairbairn 29 yard field goal,7,16
2024-11-10,Detroit Lions,Houston Texans,2,0:12,Houston Texans,John Metchie 15 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,23
2024-11-10,Detroit Lions,Houston Texans,3,11:34,Detroit Lions,David Montgomery 3 yard rush (run failed),13,23
2024-11-10,Detroit Lions,Houston Texans,4,11:38,Detroit Lions,Amon-Ra St. Brown 9 yard pass from Jared Goff (Jake Bates kick),20,23
2024-11-10,Detroit Lions,Houston Texans,4,5:01,Detroit Lions,Jake Bates 58 yard field goal,23,23
2024-11-10,Detroit Lions,Houston Texans,4,0:00,Detroit Lions,Jake Bates 52 yard field goal,26,23
