Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Sam Darnold,Minnesota Vikings,241,0,3,0,0,0,28,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Aaron Jones,Minnesota Vikings,0,0,0,2,13,0,88,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Cam Akers,Minnesota Vikings,0,0,0,1,9,0,38,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Ty Chandler,Minnesota Vikings,0,0,0,0,0,0,18,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Jordan Addison,Minnesota Vikings,0,0,0,2,25,0,4,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,T.J. Hockenson,Minnesota Vikings,0,0,0,8,72,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Josh Oliver,Minnesota Vikings,0,0,0,4,52,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Justin Jefferson,Minnesota Vikings,0,0,0,5,48,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Trent Sherfield,Minnesota Vikings,0,0,0,1,11,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Jalen Nailor,Minnesota Vikings,0,0,0,1,11,0,-7,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Mac Jones,Jacksonville Jaguars,111,0,2,0,0,0,8,1,1
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Travis Etienne,Jacksonville Jaguars,0,0,0,1,-1,0,44,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Tank Bigsby,Jacksonville Jaguars,0,0,0,0,0,0,4,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Evan Engram,Jacksonville Jaguars,0,0,0,6,40,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Brenton Strange,Jacksonville Jaguars,0,0,0,2,25,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Gabriel Davis,Jacksonville Jaguars,0,0,0,1,19,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Luke Farrell,Jacksonville Jaguars,0,0,0,2,16,0,0,0,0
2024-11-10,Minnesota Vikings,Jacksonville Jaguars,Brian Thomas,Jacksonville Jaguars,0,0,0,2,12,0,0,0,0
