Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,New England Patriots,Chicago Bears,Drake Maye,New England Patriots,184,1,1,0,0,0,24,0,0
2024-11-10,New England Patriots,Chicago Bears,Rhamondre Stevenson,New England Patriots,0,0,0,1,3,0,74,0,0
2024-11-10,New England Patriots,Chicago Bears,Antonio Gibson,New England Patriots,0,0,0,0,0,0,26,0,0
2024-11-10,New England Patriots,Chicago Bears,Jamycal Hasty,New England Patriots,0,0,0,1,4,0,20,0,0
2024-11-10,New England Patriots,Chicago Bears,Austin Hooper,New England Patriots,0,0,0,3,64,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Demario Douglas,New England Patriots,0,0,0,4,50,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Kayshon Boutte,New England Patriots,0,0,0,4,47,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Hunter Henry,New England Patriots,0,0,0,1,14,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Ja'Lynn Polk,New England Patriots,0,0,0,1,2,1,0,0,0
2024-11-10,New England Patriots,Chicago Bears,K.J. Osborn,New England Patriots,0,0,0,0,0,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Caleb Williams,Chicago Bears,120,0,0,0,0,0,15,0,0
2024-11-10,New England Patriots,Chicago Bears,D'Andre Swift,Chicago Bears,0,0,0,1,6,0,59,0,0
2024-11-10,New England Patriots,Chicago Bears,D.J. Moore,Chicago Bears,0,0,0,3,24,0,3,0,0
2024-11-10,New England Patriots,Chicago Bears,Keenan Allen,Chicago Bears,0,0,0,5,44,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Rome Odunze,Chicago Bears,0,0,0,3,23,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Cole Kmet,Chicago Bears,0,0,0,2,13,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,DeAndre Carter,Chicago Bears,0,0,0,1,5,0,0,0,0
2024-11-10,New England Patriots,Chicago Bears,Roschon Johnson,Chicago Bears,0,0,0,1,5,0,-4,0,0
