Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,New York Giants,Carolina Panthers,Daniel Jones,New York Giants,190,0,2,0,0,0,26,1,0
2024-11-10,New York Giants,Carolina Panthers,Tyrone Tracy,New York Giants,0,0,0,1,1,0,103,1,1
2024-11-10,New York Giants,Carolina Panthers,Devin Singletary,New York Giants,0,0,0,1,5,0,40,0,0
2024-11-10,New York Giants,Carolina Panthers,Wan'Dale Robinson,New York Giants,0,0,0,5,51,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Jalin Hyatt,New York Giants,0,0,0,4,39,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Theo Johnson,New York Giants,0,0,0,4,37,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Isaiah Hodgins,New York Giants,0,0,0,1,7,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Malik Nabers,New York Giants,0,0,0,6,50,0,-2,0,0
2024-11-10,New York Giants,Carolina Panthers,Bryce Young,Carolina Panthers,126,1,0,0,0,0,30,0,0
2024-11-10,New York Giants,Carolina Panthers,Chuba Hubbard,Carolina Panthers,0,0,0,4,16,0,153,1,1
2024-11-10,New York Giants,Carolina Panthers,Miles Sanders,Carolina Panthers,0,0,0,0,0,0,5,0,0
2024-11-10,New York Giants,Carolina Panthers,Jalen Coker,Carolina Panthers,0,0,0,3,41,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Xavier Legette,Carolina Panthers,0,0,0,3,40,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,David Moore,Carolina Panthers,0,0,0,2,18,0,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Ja'Tavion Sanders,Carolina Panthers,0,0,0,2,8,1,0,0,0
2024-11-10,New York Giants,Carolina Panthers,Ian Thomas,Carolina Panthers,0,0,0,1,3,0,0,0,0
