Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,New York Jets,Arizona Cardinals,Aaron Rodgers,New York Jets,151,0,0,0,0,0,0,0,1
2024-11-10,New York Jets,Arizona Cardinals,Breece Hall,New York Jets,0,0,0,4,31,0,52,0,0
2024-11-10,New York Jets,Arizona Cardinals,Braelon Allen,New York Jets,0,0,0,1,7,0,27,0,0
2024-11-10,New York Jets,Arizona Cardinals,Garrett Wilson,New York Jets,0,0,0,5,41,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Davante Adams,New York Jets,0,0,0,6,31,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Jeremy Ruckert,New York Jets,0,0,0,2,17,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Isaiah Davis,New York Jets,0,0,0,1,10,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Tyler Conklin,New York Jets,0,0,0,1,8,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Kenny Yeboah,New York Jets,0,0,0,1,4,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Malachi Corley,New York Jets,0,0,0,1,2,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Xavier Gipson,New York Jets,0,0,0,0,0,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Kyler Murray,Arizona Cardinals,266,1,0,0,0,0,21,2,0
2024-11-10,New York Jets,Arizona Cardinals,Trey Benson,Arizona Cardinals,0,0,0,2,25,0,62,0,0
2024-11-10,New York Jets,Arizona Cardinals,James Conner,Arizona Cardinals,0,0,0,5,80,0,33,1,0
2024-11-10,New York Jets,Arizona Cardinals,Emari Demercado,Arizona Cardinals,0,0,0,0,0,0,22,0,0
2024-11-10,New York Jets,Arizona Cardinals,DeeJay Dallas,Arizona Cardinals,0,0,0,0,0,0,10,0,0
2024-11-10,New York Jets,Arizona Cardinals,Trey McBride,Arizona Cardinals,0,0,0,4,71,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Marvin Harrison Jr.,Arizona Cardinals,0,0,0,5,54,1,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Michael Wilson,Arizona Cardinals,0,0,0,3,24,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Elijah Higgins,Arizona Cardinals,0,0,0,2,13,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Greg Dortch,Arizona Cardinals,0,0,0,1,-1,0,0,0,0
2024-11-10,New York Jets,Arizona Cardinals,Clayton Tune,Arizona Cardinals,0,0,0,0,0,0,-1,0,0
