Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Jalen Hurts,Philadelphia Eagles,202,2,1,0,0,0,56,2,1
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Kenny Pickett,Philadelphia Eagles,5,0,0,0,0,0,1,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Saquon Barkley,Philadelphia Eagles,0,0,0,1,12,0,66,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Will Shipley,Philadelphia Eagles,0,0,0,0,0,0,34,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Kenneth Gainwell,Philadelphia Eagles,0,0,0,1,9,0,30,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,A.J. Brown,Philadelphia Eagles,0,0,0,5,109,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Jahan Dotson,Philadelphia Eagles,0,0,0,1,27,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Dallas Goedert,Philadelphia Eagles,0,0,0,2,25,1,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,DeVonta Smith,Philadelphia Eagles,0,0,0,2,14,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Ainias Smith,Philadelphia Eagles,0,0,0,2,6,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Johnny Wilson,Philadelphia Eagles,0,0,0,1,5,1,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Grant Calcaterra,Philadelphia Eagles,0,0,0,0,0,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Cooper Rush,Dallas Cowboys,45,0,0,0,0,0,2,0,2
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Trey Lance,Dallas Cowboys,21,0,1,0,0,0,17,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Rico Dowdle,Dallas Cowboys,0,0,0,3,3,0,53,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Ezekiel Elliott,Dallas Cowboys,0,0,0,0,0,0,22,0,1
2024-11-10,Philadelphia Eagles,Dallas Cowboys,CeeDee Lamb,Dallas Cowboys,0,0,0,6,21,0,3,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Jake Ferguson,Dallas Cowboys,0,0,0,4,24,0,0,0,1
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Jalen Tolbert,Dallas Cowboys,0,0,0,3,14,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Jalen Brooks,Dallas Cowboys,0,0,0,1,4,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Luke Schoonmaker,Dallas Cowboys,0,0,0,0,0,0,0,0,0
2024-11-10,Philadelphia Eagles,Dallas Cowboys,Hunter Luepke,Dallas Cowboys,0,0,0,0,0,0,0,0,0
