Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,Pittsburgh Steelers,Washington Commanders,Russell Wilson,Pittsburgh Steelers,195,3,1,0,0,0,3,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Miles Killebrew,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Jaylen Warren,Pittsburgh Steelers,0,0,0,2,29,0,66,0,1
2024-11-10,Pittsburgh Steelers,Washington Commanders,Najee Harris,Pittsburgh Steelers,0,0,0,0,0,0,53,1,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Cordarrelle Patterson,Pittsburgh Steelers,0,0,0,0,0,0,14,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,George Pickens,Pittsburgh Steelers,0,0,0,5,91,1,4,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Mike Williams,Pittsburgh Steelers,0,0,0,1,32,1,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Calvin Austin III,Pittsburgh Steelers,0,0,0,2,20,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Pat Freiermuth,Pittsburgh Steelers,0,0,0,3,17,1,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Darnell Washington,Pittsburgh Steelers,0,0,0,1,6,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Van Jefferson,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,James Pierre,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,MyCole Pruitt,Pittsburgh Steelers,0,0,0,0,0,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Jayden Daniels,Washington Commanders,202,0,0,0,0,0,5,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Austin Ekeler,Washington Commanders,0,0,0,1,7,0,44,2,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Jeremy McNichols,Washington Commanders,0,0,0,0,0,0,7,1,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Chris Rodriguez,Washington Commanders,0,0,0,0,0,0,4,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Terry McLaurin,Washington Commanders,0,0,0,5,113,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Noah Brown,Washington Commanders,0,0,0,3,33,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Zach Ertz,Washington Commanders,0,0,0,4,31,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Luke McCaffrey,Washington Commanders,0,0,0,1,23,0,0,0,0
2024-11-10,Pittsburgh Steelers,Washington Commanders,Olamide Zaccheaus,Washington Commanders,0,0,0,1,8,0,0,0,1
2024-11-10,Pittsburgh Steelers,Washington Commanders,Dyami Brown,Washington Commanders,0,0,0,2,-13,0,0,0,0
