Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Brock Purdy,San Francisco 49ers,353,2,0,0,0,0,17,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Christian McCaffrey,San Francisco 49ers,0,0,0,6,68,0,39,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Deebo Samuel,San Francisco 49ers,0,0,0,5,62,0,14,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Jordan Mason,San Francisco 49ers,0,0,0,0,0,0,5,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Jauan Jennings,San Francisco 49ers,0,0,0,7,93,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Ricky Pearsall,San Francisco 49ers,0,0,0,4,73,1,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,George Kittle,San Francisco 49ers,0,0,0,3,57,1,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Isaac Guerendo,San Francisco 49ers,0,0,0,0,0,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Baker Mayfield,Tampa Bay Buccaneers,116,1,0,0,0,0,3,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Bucky Irving,Tampa Bay Buccaneers,0,0,0,3,14,0,73,1,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Rachaad White,Tampa Bay Buccaneers,0,0,0,6,39,1,31,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Sterling Shepard,Tampa Bay Buccaneers,0,0,0,1,7,0,3,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Cade Otton,Tampa Bay Buccaneers,0,0,0,5,35,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Ryan Miller,Tampa Bay Buccaneers,0,0,0,1,11,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Rakim Jarrett,Tampa Bay Buccaneers,0,0,0,2,10,0,0,0,0
2024-11-10,San Francisco 49ers,Tampa Bay Buccaneers,Trey Palmer,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0
