Date,Away Team,Home Team,Player,Player Team,Passing Yards,Passing TD,Passing INT,Receptions,Receiving Yards,Receiving TD,Rushing Yards,Rushing TD,Fumbles Lost
2024-11-11,Miami Dolphins,Los Angeles Rams,Tua Tagovailoa,Miami Dolphins,207,1,1,0,0,0,-1,0,1
2024-11-11,Miami Dolphins,Los Angeles Rams,De'Von Achane,Miami Dolphins,0,0,0,5,15,0,37,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Malik Washington,Miami Dolphins,0,0,0,1,17,0,18,1,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Tyreek Hill,Miami Dolphins,0,0,0,3,16,1,11,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Jaylen Wright,Miami Dolphins,0,0,0,0,0,0,3,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Jonnu Smith,Miami Dolphins,0,0,0,3,45,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Raheem Mostert,Miami Dolphins,0,0,0,2,34,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Odell Beckham Jr.,Miami Dolphins,0,0,0,2,17,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Durham Smythe,Miami Dolphins,0,0,0,1,6,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Julian Hill,Miami Dolphins,0,0,0,0,0,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Jaylen Waddle,Miami Dolphins,0,0,0,3,57,0,-1,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Matthew Stafford,Los Angeles Rams,293,0,1,0,0,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Kyren Williams,Los Angeles Rams,0,0,0,5,20,0,62,0,1
2024-11-11,Miami Dolphins,Los Angeles Rams,Blake Corum,Los Angeles Rams,0,0,0,1,7,0,8,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Puka Nacua,Los Angeles Rams,0,0,0,9,98,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Cooper Kupp,Los Angeles Rams,0,0,0,7,80,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Davis Allen,Los Angeles Rams,0,0,0,5,34,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Tyler Johnson,Los Angeles Rams,0,0,0,3,25,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Demarcus Robinson,Los Angeles Rams,0,0,0,1,23,0,0,0,0
2024-11-11,Miami Dolphins,Los Angeles Rams,Tutu Atwell,Los Angeles Rams,0,0,0,1,6,0,0,0,0
