Date,Away Team,Home Team,Quarter,Time,Scoring Team,Description,Away Team Score,Home Team Score
2024-11-11,Miami Dolphins,Los Angeles Rams,1,12:01,Miami Dolphins,Malik Washington 18 yard rush (Jason Sanders kick),7,0
2024-11-11,Miami Dolphins,Los Angeles Rams,2,14:07,Miami Dolphins,Jason Sanders 50 yard field goal,10,0
2024-11-11,Miami Dolphins,Los Angeles Rams,2,5:46,Los Angeles Rams,Joshua Karty 34 yard field goal,10,3
2024-11-11,Miami Dolphins,Los Angeles Rams,2,0:00,Los Angeles Rams,Joshua Karty 55 yard field goal,10,6
2024-11-11,Miami Dolphins,Los Angeles Rams,3,5:32,Miami Dolphins,Tyreek Hill 1 yard pass from Tua Tagovailoa (Jason Sanders kick),17,6
2024-11-11,Miami Dolphins,Los Angeles Rams,4,14:55,Los Angeles Rams,Joshua Karty 53 yard field goal,17,9
2024-11-11,Miami Dolphins,Los Angeles Rams,4,9:07,Miami Dolphins,Jason Sanders 37 yard field goal,20,9
2024-11-11,Miami Dolphins,Los Angeles Rams,4,6:31,Los Angeles Rams,Joshua Karty 22 yard field goal,20,12
2024-11-11,Miami Dolphins,Los Angeles Rams,4,2:38,Miami Dolphins,Jason Sanders 50 yard field goal,23,12
2024-11-11,Miami Dolphins,Los Angeles Rams,4,0:39,Los Angeles Rams,Joshua Karty 31 yard field goal,23,15
